bnumber,logFC
b2782,-0.15520816754251401
b4225,0.0220686191845887
b2783,-0.22771790117842
b4224,-0.00801013155246435
b2155,3.7766576561576004
b0619,-0.129979048481232
b0620,-0.6317150681788859
b0618,-0.0330485061781615
b0617,-0.428010846467583
b0616,-0.68010468805552
b0615,-0.6575566003421089
b0613,-0.412110041224716
b0612,-0.276659193692036
b0614,0.270014348854841
b0155,-0.298183607925842
b1592,-1.2942618030711999
b2027,0.32204371704242896
b0882,0.6709979633362719
b2592,0.0134430892458993
b0437,-0.11694851404336899
b0881,0.0428344123433356
b0438,0.11617471795521302
b1249,-0.0957180712054716
b0910,0.6050860212974929
b0842,0.6528194738330461
b2933,0.0458103153032698
b2934,0.27608376379182203
b3974,-0.0305410621563237
b3634,0.30120348041882394
b0103,0.13178498611315098
b1120,-0.7114490480685041
b0638,-0.0185489393570177
b1992,0.0764227581431779
b1991,-0.0801580560470773
b1993,-0.273272503773893
b0337,0.41493274725646007
b0336,1.2269280302328
b0446,0.162689904125626
b0484,1.14839684242255
b3816,0.6954948153436229
b3032,-0.0971489810891123
b4213,-0.31325936328048104
b2049,-0.27058730759947003
b2048,0.5478714285398689
b3911,-0.17569793554504504
b4484,1.16535499290898
b3912,0.0689962488721291
b0622,-0.656267330333324
b0624,0.0848454291539488
b4397,-0.188741620899874
b4398,-0.23196080294657898
b4399,-0.10333016800210199
b4400,-0.140678366101094
b0240,2.6063379918615697
b3357,0.39037457899848105
b2417,-0.871126870908629
b2810,-0.124458094242465
b3162,-0.124458094242465
b1042,-0.0189945562264425
b1041,-0.205352182446048
b1043,-0.3823301802173761
b1040,0.6121787696538891
b1039,0.695646152819283
b1038,0.831919068082057
b1037,-0.0296134344626872
b2535,0.121837858049967
b2664,0.28175985692980604
b3556,-0.6534617183143381
b1557,-0.311382327848765
b1823,-0.45556502047002
b0880,-0.316729656247084
b0623,-0.271250011996129
b1558,0.162865471539053
b0990,-0.551215738339952
b0989,0.110536077154857
b0880,0.110536077154857
b1552,-0.150652785980895
b0990,-0.150652785980895
b2696,0.0312218094951623
b0598,1.8410422532143997
b0123,1.8212390424274099
b0487,-0.5865963021846851
b0575,0.644381887539844
b0574,2.18444426118214
b0572,3.59064888322244
b0573,2.35496917448656
b0571,0.8884825520076189
b0570,0.512969898877442
b4137,-0.0753635549520181
b1874,0.10961200461785499
b2313,0.375385083653948
b1191,-0.0950136523647966
b3806,-0.117041435627558
b3807,-0.128209862895032
b1418,0.7388586673413872
b4208,0.417741111788995
b0733,-0.280258204600875
b0734,-0.409567437963824
b0886,0.18496994740227
b0887,0.10558614652170599
b0338,-0.280464196738145
b0340,-0.113250168871774
b0339,-0.23201383801280398
b0341,0.119560943653956
b0432,7.245624893812329
b0431,6.8608899399785
b0430,6.132765673939001
b0429,5.95909409020211
b0428,5.368195695808731
b2422,0.939524600251046
b1275,1.57543928622221
b2750,1.11166702932377
b2752,1.05128418586314
b3607,0.386868340904476
b3368,-0.5429599787038599
b2762,0.8963189600668571
b2763,0.865289589672398
b2764,0.8329467458684521
b2414,0.52126119692526
b2421,0.67481518343052
b2751,1.09098359868685
b2425,0.871959703065754
b4214,0.306134133128737
b0526,0.18187716802328305
b2424,0.41127185391533205
b2424,0.9040094211345859
b2423,0.947645595689292
b2414,0.435060840753906
b2413,0.435060840753906
b3934,-0.620417539209547
b0632,-0.10464804288334201
b3182,0.0695513431823515
b0839,0.327947455627805
b2010,-0.169931671016578
b1189,3.9262327688420298
b1190,3.8288351473710605
b3387,-0.0175126390998635
b3388,-0.14468346679117902
b2478,-0.235428982864892
b0031,-0.282793480879523
b0166,-0.0542237859771996
b2472,0.0969702762262415
b3809,0.00789140554207968
b1343,0.639217748986608
b2065,-0.18301622346228802
b1961,-0.0329632767748155
b1538,0.0956440064542727
b3472,0.344088577315743
b3528,0.474472492234425
b4138,-0.931690726305969
b4123,-2.6365203335475598
b0621,-2.78611703413489
b3227,-0.198330906637504
b4124,-0.48356569928550297
b4125,-0.183680200054827
b2378,-0.45313826175671795
b0381,-0.546448423916427
b0092,-0.233122265486059
b1487,0.5464279705077151
b1486,0.00989160206344995
b1485,-0.35215664318048207
b1484,0.109219129584566
b1483,0.272041193211552
b1488,0.954917205905897
b3162,-0.14806509574994697
b2317,-0.0615083867487549
b2314,0.19774117090754104
b3287,0.280643184237899
b0161,1.07214045087787
b3234,0.198073301407565
b3235,-0.0257463202642508
b4382,-0.340644873304029
b4383,0.009849785782896671
b4381,-0.793811312613338
b4384,-0.0217249195031058
b0840,-0.17187874006009501
b2511,0.20945548926233198
b3639,0.122240109859817
b4042,0.139828388544971
b4477,0.19740610785939303
b4478,0.0543128380439631
b3693,-0.110787503777141
b4479,-0.38363314842085205
b3691,0.054837394651690005
b0160,0.208172315160766
b1200,-0.712676292708516
b1199,-1.05026368043284
b1201,-0.0343248308452527
b1570,-0.312037700795534
b1575,-0.7101040917848641
b1569,0.7343896491408299
b0231,-0.0247830846673899
b3645,0.292482653159913
b4044,-0.246040018690682
b0799,-0.0853907841602684
b1061,-0.0851423581463687
b0226,-0.263922375638603
b4136,0.0029094929084297803
b0055,0.00500472769138274
b0646,0.0370308363318485
b0649,-0.0486011560326127
b3012,-0.16264876863903302
b0207,0.71284054949362
b0145,0.267267285763284
b2133,0.624548064798679
b0894,-3.88824430379919
b0895,-3.52388184143532
b0896,-2.42734321474794
b1591,-0.817373891870016
b3702,0.13241825980403601
b4052,0.171057043897107
b4361,-0.27239623207291896
b0184,0.0133554193037809
b3066,0.19073176894553895
b0015,0.6329665777595229
b0014,0.40584652946731203
b3701,-0.0033319787026405197
b0215,-0.0655291290996969
b4362,-0.147889700895323
b0470,0.0400970049140117
b1489,0.7274640691134441
b3544,0.0507550163635356
b3543,-0.0292507342681414
b3542,0.00880285625363433
b3541,-0.0956897558221311
b3540,-0.199580686938608
b0812,0.170726019436857
b3860,0.211062514191457
b1185,0.319322273526289
b2893,-0.248578332071953
b0604,-0.14115735440159197
b2366,0.330656812397602
b2364,0.32039712121762
b2365,0.0395306613951801
b1952,0.4234349808730061
b3887,-0.21409228657012
b3260,-0.667574359367987
b2140,0.43364332493132896
b3640,0.2288868535836
b0173,-0.19032889217361998
b0420,-0.0942339764262921
b0297,0.739341981931242
b1533,1.0734251338707501
b3076,-0.178136342383857
b3077,-1.28507020268045
b3075,-0.315276153493554
b4410,0.0373750862853993
b4411,1.67150026002774
b2209,0.165483044095691
b0140,-0.864647916298153
b0290,-0.864647916298153
b1850,-0.11640270258329302
b1851,-0.15078550252349301
b4147,0.354524033500098
b1513,-0.155886245890567
b2267,-0.261417359104299
b2266,0.19907622278695397
b2268,-0.0482298135411661
b2269,-0.5242471540282371
b1160,-0.0218411152652754
b3209,-0.680127725027948
b2685,-0.32074139280705893
b2686,-0.0837011520282559
b3673,0.0666247866108229
b0543,0.0249706131768852
b2368,-0.12046138786793402
b2367,-0.4207105049031071
b1193,-0.0610045787759481
b2945,-1.2388069658952
b2779,-1.5545416945573203
b0596,3.7187035693565
b0595,5.280401079946009
b0593,5.998274905913809
b0583,2.42570830484277
b0594,5.095667334855389
b0586,4.31456352405015
b3613,-0.28888942124696
b3265,-0.28888942124696
b3264,-0.454012623360996
b0566,0.10608977876033199
b3404,0.14516690483766598
b2927,-1.00905885900003
b4114,0.0671337620217637
b3546,0.0437814547826175
b2566,0.11245382111425901
b1990,-0.0776117120066163
b0554,-0.17351185575709696
b1556,-0.644581699255609
b0982,-0.17713348428301004
b2451,0.206420832239334
b2441,-0.155546016666471
b2440,-0.123398925790413
b2455,-0.0440728896575064
b2453,-0.56899340745461
b2452,-0.0389512728824348
b2458,-0.384460838400399
b2454,-0.327926747539402
b2439,0.0148480049715502
b2461,0.82931409070535
b2460,0.5862695399198051
b2459,-0.11127447465621301
b2369,-0.8353577702513979
b2370,-0.6961269251167521
b3006,4.37199969738667
b3005,4.62878453845519
b2798,0.160883086641596
b1844,-0.0686149101166955
b3094,-0.40130048219685704
b3093,0.249047242469003
b0954,0.45776605733538395
b2323,0.30846333176053403
b1092,-0.225227040128508
b1095,-0.277405140767639
b3256,-0.101476358879685
b1093,-0.101476358879685
b1091,0.26705084702702003
b1288,0.338714771533977
b3963,0.12859710007060798
b0180,-0.25130242249506896
b3845,0.9072945331153258
b3846,2.33214755756732
b1805,0.8370960462918721
b0221,1.4650505911287799
b3081,0.0871346555178305
b2344,1.36286597200919
b1187,-0.0973184924746199
b2925,-0.54339173848925
b2097,-0.136547330874395
b4232,0.538571978896746
b2052,0.148583986577254
b3895,0.93702828406017
b3891,0.493729042338502
b4079,-1.39800924701352
b1474,-1.75814348119778
b1475,-1.5228865163673002
b1476,-0.0879087936801984
b3894,3.72950078964509
b3893,3.5590157769940602
b3892,2.83030585800902
b0518,0.06935649528680299
b2525,2.44548688618346
b1385,0.8180482813106629
b1384,1.1346546821688899
b4291,1.60739360121088
b4290,1.1047286168605701
b4289,0.830683201745417
b4288,0.5913076212543101
b4287,0.5835231247545171
b4293,3.2832096810761295
b4292,3.07373936536486
b3408,0.31017512309902506
b3409,0.468764916447969
b0584,4.32743172042497
b0592,3.4948112855615596
b0588,4.01621183597604
b0590,3.93018449154218
b0587,0.842081708586841
b0589,3.07126868254598
b0585,4.3776297746117505
b2610,0.0486558803436839
b2731,-0.902690471494951
b0150,2.34974051925576
b0153,0.0302305307710491
b0151,0.10653904547838
b0152,0.347116465341158
b1102,2.0889364886361497
b4367,6.37867548668851
b3361,0.137895058782599
b3915,0.0377427396163856
b4314,-0.192852497742874
b4312,-0.48556786628635795
b4316,-0.29645873522175104
b4317,-0.13721050853879901
b4313,-0.529480764349572
b4318,-0.09021244207603699
b4319,-0.177428297957717
b4320,-0.269777996764208
b4315,-0.117968715956751
b0535,0.292764548638424
b3261,-0.6845350071018921
b0805,2.83102750497729
b0041,-0.0551845514744924
b0042,0.504662831002977
b0043,-0.37808754774076
b0044,-0.6329003129040021
b4207,0.17838735685397403
b3347,0.11788301512278099
b0028,0.154144460943653
b0684,0.285958882876276
b2895,0.233299627577781
b1072,-0.2209188445922
b1073,-0.7849761539671579
b1074,-0.719774879602478
b1075,-0.78297596956467
b1076,-0.76786413965147
b1077,-0.6757730456838501
b1078,-0.7671387338288801
b1079,-0.7304712557247551
b1080,-0.632267416897181
b1081,-0.515403473349777
b1082,0.0315768689533179
b1083,0.0209655795827062
b1071,-0.00734504268081225
b1070,-0.0342865086631651
b1879,-0.177913595726484
b1880,-0.479600017969891
b1891,-1.44319210705252
b1892,-1.6203296165283798
b1878,-0.0156680936502033
b1922,-0.238589383222758
b1923,0.20782982315624396
b1924,-0.308358275738614
b1937,-0.324668164915911
b1938,-0.256180632837548
b1939,-0.363523757075724
b1940,-0.239919518817535
b1941,-0.311503578650284
b1942,-0.0586916632636182
b1943,-0.11514293241736502
b1944,-0.25850620452363
b1945,-0.526395786092563
b1946,-0.5745730720505021
b1947,-0.605542741564496
b1948,-0.6613045975435761
b1949,-0.14407486786858198
b1950,-0.374645716575569
b1925,-0.18432921934084698
b1926,-0.33917694895627803
b1920,0.8404310850605542
b1921,-0.28701407629387604
b2321,0.292183069941301
b2000,0.0561515451131371
b1566,-0.6539264095237111
b3288,0.10403546174398198
b1334,1.1210383843525
b0904,-3.2890227629875897
b2492,-0.148498413351454
b0048,0.10003870903877302
b3058,0.251321505044426
b2315,0.252744512428063
b0529,-0.107706693486152
b2153,2.02464981087179
b0142,0.345285312595641
b1606,0.30992923992405896
b3177,0.216284885452702
b2303,0.9771894752105641
b2169,0.795657467546782
b3924,0.795657467546782
b2374,0.364057661874031
b4154,-2.85219923846142
b4153,-2.9787341124572904
b4152,-3.09194671829252
b4151,-2.4189076443150097
b3844,0.4383240182241189
b3370,-0.304704993042557
b3371,-0.40128820704891494
b4474,-0.198845301395138
b3374,-0.176793929454554
b3375,-0.36811720703283296
b0356,0.588770400791256
b0355,0.27825707325423304
b0357,0.519437354296697
b0172,0.24553661169847601
b0239,-0.14518046683718602
b2167,-1.42201782572746
b2169,-3.6374115639410602
b2168,-1.8019661111095402
b0080,-0.33561679943119704
b3900,-0.40390356171593705
b3899,0.300217364139452
b3897,-0.12257454438867599
b3898,0.7645204346595591
b3950,-0.011943539602103996
b3949,-0.5745167630586601
b3953,-0.10975997894742599
b0825,0.09611457361014901
b3946,-1.13094719501073
b0479,0.32233163463469894
b1905,-3.39311329174163
b0094,0.0173271726389841
b2748,-0.10122577497043302
b2235,-0.10122577497043302
b3463,-0.168045536141975
b3178,0.34275631679299695
b0084,-0.304947580232438
b0890,-0.22085205756710802
b0083,-0.15148203246996303
b3933,-0.0211866646648549
b0093,0.0086387320289925
b0089,-0.147801036623462
b3462,-0.00827774328630922
b3464,0.08824004880951801
b0095,-0.0106371075328517
b2800,-0.43931140223610105
b2802,-0.174266844577478
b2803,-0.00524316991756021
b2799,-0.502053620494448
b2801,-0.6098110624640121
b2805,-0.298130426793776
b2804,0.0726245267139577
b1612,3.23707391931353
b4122,-2.96237328432752
b1611,1.84131490762247
b0683,1.12577472173427
b3340,0.208070569752675
b4140,0.25127240956555197
b2661,0.8072455342624449
b2663,0.570851877324811
b2662,0.684827463857414
b3517,-0.420775192601427
b1493,-0.33376507410741496
b1492,-0.6341424344233969
b3512,-1.5015116360662601
b3515,-0.36254439464327903
b3516,-0.47977858366381304
b0759,-0.251215803375825
b2042,0.405776444358794
b0757,-0.19304873638982
b0756,-0.347984267389467
b2943,0.5254141732045681
b2837,-0.299552814743357
b2151,0.124840282858531
b0758,-0.337944748632431
b1236,-0.170863414868673
b1779,-1.98060158261783
b3128,-1.28875847585349
b3124,-0.125798745202157
b3126,-0.180904792923295
b3127,-0.273975063513265
b3125,-0.11884997952227698
b2094,-3.3489150951522593
b2093,-4.00159838404595
b2092,-3.49342168344124
b2091,-3.54100249500753
b2096,-2.1297221894384197
b2095,-2.6624208437402404
b0124,4.4030525431987595
b0507,0.596805697357155
b2808,-0.070921642004536
b2904,1.35149608586088
b2903,1.6742054956956003
b2479,-0.421834503237723
b2905,1.9986383651109698
b1761,-0.257548647105189
b3447,1.1752327828863
b3741,0.57653473989907
b3740,0.178515623748157
b2976,0.22065988609576798
b2980,3.9482528267435897
b2979,0.7002723054044129
b4468,0.994165611291078
b4467,0.555529514608333
b2977,0.317383757154172
b3945,-2.19214457799586
b2036,-0.0545103263623466
b3429,-0.465706246208224
b3432,-0.791779426882833
b3430,-0.857222218451178
b3428,-0.518833071731794
b3049,0.346132041922729
b3431,-0.6707830598274089
b2388,-1.11227013023842
b3176,0.0392658834030947
b3729,-0.10067411030654701
b3730,-0.17174009364915502
b3870,-1.59537735512961
b2553,-0.12358353904969
b0167,0.36176878423073
b3053,-0.0724096081785704
b3868,-0.48126439803435705
b0811,0.20732012192419197
b0450,-0.181026726823292
b3869,-0.34908297258832593
b0810,0.0265599786786352
b0809,0.12934333674339502
b0680,0.0899412580093177
b1651,-0.32925404684981296
b0212,-0.195116559796917
b2241,-0.138923436307549
b2242,-0.34949650714051594
b2243,-0.35854154598018495
b3426,1.56169831605566
b3425,2.0037316000918
b3927,0.0608822880409704
b3424,0.6111030036297139
b3926,0.20545327916388798
b2239,0.0740731014928023
b3423,0.377478419543666
b2240,0.170820564230114
b3925,-1.07922433521521
b0720,3.06939160116014
b3212,0.15221113397692998
b3213,0.162174276882259
b3214,0.12096076919583698
b0655,1.20681468845889
b0654,0.8548568454318399
b0653,0.999734714402
b0652,1.1927890161588102
b4077,1.06862044340025
b3653,0.19487095921611897
b2400,-0.072197002504869
b3682,0.272009077452394
b3682,0.43536802897227506
b3683,0.43536802897227506
b0514,0.0313380473062527
b0509,0.0822753812694845
b2551,-0.291098487385141
b3560,-0.0410782587263278
b3559,0.0224955655636436
b3431,0.630371298066036
b2053,0.29258433857772
b0200,-0.18830864747683604
b3648,0.1351711529887
b1285,0.401401245351524
b2029,-0.0537103156241413
b4517,0.0514450579511216
b1550,-0.45383083180441103
b3437,-0.499105726979501
b4321,-0.43962534203185105
b3438,-0.291813551822668
b3415,-0.288824023510731
b4476,-0.131809075172267
b3413,0.191025859223254
b3414,1.8611199945694
b3500,-0.11751882339099999
b3385,-0.0638535792334476
b0755,2.52303655605652
b3612,-2.57773699706065
b0238,-0.0686843062526843
b3779,-0.0686843062526843
b3608,-0.27109967435063104
b0238,0.545284376608114
b3181,0.0742481232294867
b3406,-0.411437642809426
b4143,0.579375530036456
b4142,0.588973211545195
b2614,0.0374984485822034
b0849,1.14033382843333
b1064,0.036305226254259006
b3610,-0.13007932355593
b2688,0.0489666011051274
b2947,-0.0757137333900254
b0477,0.11170471984508197
b3323,-0.0441205688166348
b3324,0.239203777779031
b3325,0.00033097268435037
b3326,-0.134879965162796
b3327,-0.411277479316136
b3328,-0.211160111659184
b3329,1.1225017487133502
b3330,-0.320227958102273
b3331,-0.166139052335834
b3332,-0.582377323751448
b3333,-0.374118652695281
b3334,-0.0435301914911239
b3335,-0.0661332358416218
b2988,-0.807949485583338
b1635,0.257955745228856
b2507,0.678282610167038
b2508,0.6524762483053721
b0104,-0.019540484457814
b2883,-0.21864481069953895
b2787,-0.347467472249212
b2789,0.0295909326463924
b2788,-0.539815902310814
b2706,-0.21386971998961102
b2708,-0.8011150246710959
b2231,0.139158092143254
b3699,0.0516271520385427
b2539,-0.0949791466545603
b2541,-0.0949791466545603
b2540,-0.0336960524621769
b2542,0.0593533679098989
b2538,0.0314225354271287
b2539,0.132020838868653
b2537,2.24421113045898
b2536,0.37644589155139796
b1967,0.957578728574491
b0873,-1.2755458814999199
b0872,-1.49323755792016
b2496,-0.147396226484293
b3510,-0.442518458300006
b3509,-0.359082919883615
b3511,-1.02518512593765
b4480,-0.217026969388154
b1619,0.00761618278876895
b0962,-0.16943911516416102
b1210,-0.10418735745973601
b0369,0.26254299607959697
b3805,-0.16430041270686702
b3804,-0.183727416294905
b3997,0.30073028645673
b2436,0.456596020784124
b3850,-0.293769575189154
b0475,0.8421495405181941
b0154,0.220177824385441
b3867,-0.0955379422833947
b3803,0.13291206479774098
b3802,0.23600886133097002
b0059,0.518069050610804
b4175,0.411286783014642
b1132,0.462521169873215
b4174,0.460724733632695
b4173,0.23664113172682102
b4172,0.22997662754983803
b0460,0.12310014829673
b1103,-0.0612580285013646
b1507,-0.327644725231309
b1508,-0.315537447581526
b2024,0.0959217647102855
b2022,-0.27042491615354797
b2021,-0.19529031941430397
b2020,-0.18227563900931198
b2025,-0.20815147851530605
b2019,-0.303977319303234
b2023,-0.20823907962626004
b2026,-0.509991143094467
b2309,2.2144839987008
b2018,-0.948862225032279
b2307,1.49717719723188
b2306,1.38487995657174
b2308,1.65092030281195
b2514,-0.0194690636816351
b0178,-0.19072602302815098
b1182,-1.8760352826053999
b2552,1.06686354955119
b1237,0.20702138610182502
b0107,-0.7856764318363929
b0106,-0.17989405252699103
b3391,-0.261790787861986
b4455,0.5944021886265219
b4428,-1.4793271975798101
b4412,0.0
b1562,-0.0564301865555962
b4415,-0.674092331158647
b0640,0.0983838345259512
b1099,-0.112302781652636
b4259,0.12150925068927498
b4372,0.15080699376445403
b1842,0.22268259742971902
b0125,-0.15802565464769597
b1413,0.0205530790474566
b0148,0.101530545431626
b2526,2.64638906600697
b2527,3.0994780948377096
b0650,-0.415600440128267
b4349,-0.0804161441042856
b4350,-0.658590346134112
b4348,-0.0018330033800789602
b1379,0.108153101549054
b3401,0.646183839152828
b3400,0.482356594519668
b3931,0.0885546951079402
b3932,0.287533475194887
b3754,-0.131463177514334
b0012,0.0
b0473,0.273583744411637
b1829,1.29024823732915
b3989,-0.344912677954583
b0139,-0.278991846933817
b3618,-0.122244061964283
b4000,-0.10211079973872
b0440,-0.303630958705503
b0972,-3.6465501092950294
b0973,-3.3707055375517005
b0974,-3.26923529225326
b0975,-2.90200762340159
b0976,-2.91151463939959
b0977,-2.97817838150115
b2996,-3.2239851386272598
b2995,-2.67035773199694
b2994,-1.54267631541201
b2993,-1.2233739162552901
b2992,-1.29025150691101
b2991,-1.52328775047771
b2990,-0.8949456572983091
b2997,-3.1415921578620805
b2725,-1.5238835042681202
b2724,-1.5015025961076298
b2723,-1.30932449263316
b2722,-1.39710595004564
b2721,-1.30152725972735
b2720,-1.43484332514998
