genes,logFC,logCPM,LR,PValue,FDR,bnumber
allB,-0.00592105267513062,2.87979543453008,0.000383695064356093,0.984371928274168,1,b0512
allC,-0.314871235593347,3.40348942285449,0.605579779113912,0.436456972191736,0.697806259787584,b0516
allD,-0.0174458829392321,1.93908035203496,0.000683470148366894,0.979143070750734,1,b0517
allR,-0.0961714165280121,7.59590232335706,0.283813294216628,0.594212671791221,0.814214634982958,b0506
alpA,-0.189004278270683,0.352630722089823,0.0617697228370524,0.803720374069829,0.924783614322879,b2624
alr,-0.19492505694958,6.55342254815764,0.998511787005018,0.317670879994818,0.581355143351774,b4053
alsA,-0.342893194614286,2.71622048631728,0.554134508096785,0.456633240129654,0.713788984480628,b4087
alsB,-0.284109547950101,2.98002637139858,0.563001994607542,0.453053215832957,0.711282020786093,b4088
alsB,-0.284109547950101,2.98002637139858,0.563001994607542,0.453053215832957,0.711282020786093,b0889
alsC,0.0246455148082613,2.45858735637992,0.00234972117843668,0.961338546703337,0.995677955515089,b4086
alsE,-0.412842240625975,2.62383800607916,1.55891731324355,0.211823816854195,0.456065336487173,b4085
alsK,-0.10875460357159,3.53319891969479,0.214234523188176,0.643468481208589,0.844856098670361,b4084
alx,0.348627692120552,2.85267739265394,1.20473498888196,0.272377356281428,0.535074813943236,b3088
amiA,0.569769741659699,6.58303631446125,11.2349779906576,0.000802700579765364,0.00484198855308185,b2435
amiB,0.156813799711017,6.68626239651535,0.932706994398182,0.33416050078324,0.598357878475461,b4169
amiC,0.540815021473395,7.30474495295335,3.87098387119406,0.0491277144130897,0.167590679130838,b2817
amn,0.535574488934015,8.02688686784224,7.41608844533639,0.00646431961539909,0.0323515601609602,b1982
ampC,-0.152204376728162,4.8514153473234,0.570198260562985,0.450180143676645,0.708316226061723,b4150
ampD,-0.3987753820942,5.20050397588495,4.07583677677697,0.0435007150486491,0.153101553612175,b0110
ampE,-0.144127222302452,5.36034772779942,0.562236930981506,0.453360350626207,0.711505579343964,b0111
ampG,0.341524016599332,5.9996114177807,2.69551800888294,0.100630779183919,0.278426864378825,b0433
ampH,-0.122866719896182,5.67717045492994,0.386544636651202,0.534121302508283,0.775194594385748,b0376
amtB,-0.0110922260366248,4.63275226526134,0.0030561596240859,0.955913369106306,0.994332572788843,b0451
amyA,0.33036596445321,7.30131427254248,3.0303605023097,0.0817198576680156,0.243917114905431,b1927
ansA,0.0630318038888449,6.06404232934851,0.122818936978597,0.725997009955531,0.883483933081541,b1767
ansB,-2.12487679198981,5.62087965877869,108.768259170475,1.82413347315399e-25,4.50196141174405e-24,b2957
ansP,1.54284652207926,4.84432249049865,20.3117320505768,6.57959044656945e-06,5.56110589799089e-05,b1453
apaG,0.0188536786573146,6.18633288008314,0.00945961905472537,0.922519465719145,0.977277795545986,b0050
apaH,0.00327439915542547,6.2403084620689,0.000279778765294392,0.986654735512445,1,b0049
aphA,-0.640826934757089,4.23904894544502,4.12916456223898,0.0421501546419671,0.149463479391343,b4055
appA,-1.2867912250336,7.82041133242853,26.3760332070167,2.81005731223615e-07,2.80291859850991e-06,b0980
appB,-1.29099769893738,7.980182375115,18.6583998057109,1.56356900734406e-05,0.000122337944614474,b0979
appC,-1.58073360386508,8.71310454619723,39.8381571899531,2.75902023800116e-10,3.77095202782501e-09,b0978
appY,-3.96550697128691,5.77508687433316,335.036296609333,7.68953320184565e-75,1.58148066184625e-72,b0564
apt,0.0712670575533614,7.70178396495028,0.107731618064214,0.74274158419496,0.89019140533679,b0469
aqpZ,-0.102255716461253,3.31813779983208,0.124862253623848,0.723819668214644,0.883483933081541,b0875
araA,-0.532194398035758,3.56926403587445,2.46010326448176,0.116771105032719,0.305246177566049,b0062
araB,0.0532201701342711,3.17799142833906,0.023544062858992,0.878050713816139,0.959833215128298,b0063
araC,-0.237481859698332,5.2934606521212,1.26912962417351,0.259930025321272,0.519258917373993,b0064
araD,-0.633015773408934,1.92111176524761,1.17421444809926,0.27853697407291,0.542136634078819,b0061
araE,-0.098216338729957,4.45380764451889,0.246758514523713,0.619366812229152,0.829471399075258,b2841
araF,0.366378763727128,2.99692483125648,0.757615560531351,0.384075758484387,0.645079527881425,b1901
araG,-0.290885241434272,4.21492460786348,0.913814136870335,0.339104437280113,0.603834698134215,b1900
araH,-0.114130831021788,4.82773320680399,0.357036247487525,0.550156852869997,0.783166594444798,b4460
araJ,-0.0735132757387477,4.52296174198568,0.158469907837322,0.690569159770445,0.867530017756996,b0396
arcA,0.33313661786617,9.48009125864464,2.55221650983325,0.110139641102434,0.296013136229878,b4401
arcB,-0.212069878160218,7.76386376476388,1.22204590459329,0.26895951582005,0.531702511095597,b3210
argA,1.59564287544417,8.84731571562857,5.3092799163149,0.0212121220324352,0.0868976623351529,b2818
argB,1.32747067689794,8.10634623791563,3.36104896424566,0.0667555342418073,0.209685201738448,b3959
argC,1.43727835184477,8.68606967760329,4.10470566462231,0.0427640344278025,0.151235095153652,b3958
argD,0.670964810821041,8.83750519302907,1.0398438393545,0.307857793521281,0.572073964554106,b3359
argE,1.065912622177,7.74815879780907,3.49644225108463,0.0615008166294265,0.198002191409968,b3957
argF,2.05308975450072,9.15970449114891,6.89341194011935,0.0086513983432543,0.0415632808059125,b0273
argG,1.01226092775791,10.4764584863486,2.46239872893088,0.116600595416796,0.305246177566049,b3172
argH,1.20242629102618,9.27898878738598,3.05795969255439,0.0803424943243595,0.241306837960298,b3960
argI,2.00839659141095,8.45100609191092,6.55296336175962,0.0104709621422092,0.0486803934254052,b4254
argK,-0.265093256347295,2.53304377027632,0.612404199123517,0.433884020096527,0.695119434499712,b2918
argO,-0.025501384459397,4.11644196601902,0.0179020719471913,0.893561814820306,0.966709899904335,b2923
argP,-0.349151843226379,6.8179712553158,4.22799759228572,0.0397623250002317,0.142517412179254,b2916
argR,-0.187098359865426,6.53787553413615,0.682080722672671,0.408871154312481,0.671286802629347,b3237
argS,0.419932137804253,8.48259125658305,2.65838994454023,0.103004951613682,0.282641922502855,b1876
argT,3.99371595730214,6.43058104315381,294.13688575659,6.24004830572739e-66,8.16689958558685e-64,b2310
arnT,-0.0172221411285846,3.73856187652138,0.00500593013783668,0.943594658460723,0.988691249367264,b2257
aroA,-0.583330304436394,8.72707817409853,8.48163158785499,0.00358750206230432,0.0190349157335287,b0908
aroB,0.0478031392001294,8.58462769761097,0.0455110177968336,0.831067146260861,0.937813696950501,b3389
aroC,0.233892547346866,8.47999724227867,1.50239338040481,0.220303468200819,0.467792860943627,b2329
aroD,-0.0130935550015829,5.62708270372102,0.00362133788486929,0.952014223420533,0.993416146642494,b1693
aroE,0.26595132858364,6.44134790384997,2.38108841884204,0.122811953702386,0.314749950883896,b3281
aroF,0.466750125842735,9.3559418808554,2.5698833343922,0.108915764094868,0.294188358427602,b2601
aroG,-0.151239103490978,9.17316465670871,0.644553275223984,0.422066783689184,0.684531144856773,b0754
aroH,-0.458151787602067,7.14395495941636,5.77027336622315,0.01629949885471,0.0703975355534927,b1704
aroK,0.0558572871429217,8.19728540947265,0.0684936307297619,0.79354281097018,0.921665961085189,b3390
aroL,-0.3313504253373,8.13483265705703,2.35749227436951,0.124682476903175,0.318816863784793,b0388
aroM,-0.0112383977469729,5.11482133823196,0.00276771639647233,0.958043373882602,0.994332572788843,b0390
aroP,0.77142189963998,7.1180644276453,20.0461323165465,7.55962687395491e-06,6.26680008994458e-05,b0112
arpA,0.976771721674917,4.36532819355836,16.3011806809948,5.40302760975122e-05,0.000391538192055629,b4017
arsB,0.260344428644143,3.56035357470334,1.36506798048348,0.242661083736957,0.496710905759766,b3502
arsC,-0.15090524765972,3.21022621498494,0.300907627157383,0.583313978816914,0.804837562530824,b3503
arsR,-1.16833035364562,1.92105835255699,5.70957528008045,0.0168726210693106,0.072438221071921,b3501
artI,0.249815117582959,8.86568505410021,0.314146603850048,0.575146740691209,0.798989634302133,b0863
artJ,0.665293055366186,9.37332668865446,1.03992143288401,0.307839745243584,0.572073964554106,b0860
artM,0.3278039119152,7.03664711526659,0.66983137395755,0.413110403916301,0.675330747355981,b0861
artP,0.515265893260323,8.37665086820815,1.25196177433116,0.263178119551584,0.524292573036574,b0864
artQ,0.434770124676936,7.06969778144866,1.0791666963693,0.298884046499056,0.566155334705877,b0862
ascB,-0.248617833126224,4.63676824219974,1.73768550881253,0.187432355468904,0.419006388856208,b2716
ascF,-0.33047679877625,3.74473463417384,1.30445438789901,0.253401178665726,0.510230207357801,b2715
ascG,-0.170846202149839,4.14192580809701,0.741228926293919,0.389267493398003,0.650510770320915,b2714
asd,-0.62272562107655,10.1684289366199,8.84615884859711,0.0029370635462065,0.0159561980579445,b3433
aslA,-0.435041999506608,4.61516177967783,4.11414720640975,0.0425259601700077,0.150548870470708,b3801
aslB,0.113925927779894,2.6367799504554,0.0628675079401484,0.802019819480181,0.924354212864849,b3800
asmA,-0.212685799293161,7.27463803856825,1.42356526365803,0.232817468448096,0.484363509743414,b2064
asnA,-1.45475759681962,4.99104362533952,59.8732842944604,1.01165394162031e-14,1.70677084916333e-13,b3744
asnB,-0.544531235535351,7.30013477121276,9.48345007295285,0.00207333698415295,0.0116446585624923,b0674
asnC,-0.430227633160256,4.11047211366023,3.8382936032623,0.0500944792758247,0.16953030462127,b3743
asnS,0.254733159990353,9.48875512078054,1.6276326290101,0.202030802135489,0.440025735967311,b0930
aspA,-2.44999744509862,7.87952335646284,141.1243755337,1.5112822414217e-32,4.83498370422247e-31,b4139
aspC,-0.102546661457259,9.31721569924533,0.210495856358818,0.646379034233546,0.845895470787737,b0928
aspS,-0.215425295859048,9.32162872273333,1.21091228586542,0.271151521251296,0.534262509253809,b1866
asr,0.246548470813885,2.6115591099866,0.611800922777046,0.434110535584974,0.69518850693048,b1597
astA,3.23794266849301,4.14770587913971,152.78586042678,4.26651230616756e-35,1.52289807027584e-33,b1747
astB,1.13655417997846,3.86901107133701,20.6514117826974,5.50965454862056e-06,4.73085447226485e-05,b1745
astC,3.43429744619162,4.81581846932749,126.932369429771,1.92213329438022e-29,5.35593141834077e-28,b1748
astD,1.95882672974546,4.07667197309862,44.3930617148554,2.68637494383924e-11,3.85463567522979e-10,b1746
astE,0.671003950406801,2.60559570685244,3.9058631615095,0.04811790384071,0.165462760101932,b1744
atoA,-0.0722891531726248,1.40726619763588,0.0235910861229016,0.87792994694541,0.959833215128298,b2222
atoB,0.00806923523766337,2.74794769754385,0.000567028063361619,0.981002288116423,1,b2224
atoC,-0.129265267328113,4.04489323933225,0.317070341952724,0.573373604289385,0.797295749171235,b2220
atoD,-0.691095244021446,1.86698652801496,2.4608799224738,0.116713383216988,0.305246177566049,b2221
atoE,-0.342533079807936,2.52476726298438,0.580928089804594,0.445948769138082,0.705255486601017,b2223
atoS,-0.405527134058753,3.93115532506207,2.2857858911904,0.130563992553108,0.327833673156791,b2219
atpA,-0.103429169181009,11.4539463227589,0.18203087069223,0.669633720388865,0.856535449274148,b3734
atpB,-0.141550183100364,9.58112024757111,0.371565329205914,0.542152263569422,0.77947923647015,b3738
atpC,-0.116969844049961,9.13978950103539,0.351915526193757,0.553030794976927,0.784397070835375,b3731
atpD,-0.132422552654675,10.7314952818985,0.349848117641045,0.554199119576108,0.785039684306071,b3732
atpE,-0.0324594132665304,9.43828118969772,0.0199318658875995,0.88772753990205,0.964689688214683,b3737
atpF,-0.262992652147691,10.5501351774598,0.986950186625961,0.320488919648699,0.58328325913277,b3736
atpG,-0.251527060468513,10.2819031932726,0.945371214592036,0.330900320110017,0.594986878665762,b3733
atpH,-0.062506127099255,9.54180902846113,0.0733908057033119,0.786462272817195,0.916301741650246,b3735
atpI,0.168165527970023,7.47540068913578,0.563094800409019,0.453015981127509,0.711282020786093,b3739
avtA,0.295880910216059,7.50273334014785,2.40662042872208,0.120822956029983,0.311629916226849,b3572
azoR,0.250426866346982,5.74765547543125,1.49246168160907,0.221834908535969,0.469843970026727,b1412
bacA,0.0640549419002556,5.65561835699179,0.127780717571643,0.720744256124026,0.881839785325685,b3057
baeR,-0.0894089407713193,5.92536816013032,0.219025379797527,0.63978353551831,0.843144531489211,b2079
baeS,-0.0888687034044747,3.96491101171186,0.192265214200495,0.661037948799524,0.852945386974863,b2078
barA,-0.190653073340616,6.17108721261472,1.0928668700955,0.295836875009467,0.563368370002597,b2786
basR,0.0140661471042426,4.49209464165627,0.00592889068839408,0.938624109646185,0.985156143271415,b4113
basS,0.392603091317016,5.19342728931833,3.30092219509759,0.0692410002403041,0.215455244984059,b4112
bax,0.224768262596165,8.2435746756472,0.984026490361456,0.321206748214242,0.583371528039377,b3570
bcp,-0.175319819561417,8.47456241657188,0.832897239541772,0.361436097693916,0.62441700237601,b2480
bcr,-0.202868690428634,6.63589960333256,1.40185934458328,0.236412503716821,0.489016093655626,b2182
bcsA,0.0135146569831389,3.92459341230248,0.00119923436448488,0.972374808492378,0.999423987873697,b3533
bcsB,0.113615766685308,3.93681754134531,0.144054685084576,0.704282922411437,0.875085714008917,b3532
bcsC,-0.0592625866208603,5.98139248313603,0.106944538780572,0.743649915446544,0.890195117742135,b3530
bcsC,-0.0592625866208603,5.98139248313603,0.106944538780572,0.743649915446544,0.890195117742135,b3531
bcsE,0.553353031100882,6.25789944321606,6.69113001389996,0.00968937688000458,0.0457860161321004,b3536
bcsF,0.748903817276519,2.75592441061776,4.267471435223,0.038848698891179,0.140056369374793,b3537
bcsG,0.896216276655236,4.92843499231442,20.8822446407212,4.88400797451431e-06,4.23574908472436e-05,b3538
bcsZ,-0.459212047429264,2.88481931586301,1.22883066018364,0.267634567393333,0.530235640629268,b3531
bdm,0.852561652538289,3.87648192416421,5.40719052328069,0.0200539661604212,0.0831219576265445,b1481
betA,4.31566268156801,7.92615975694044,300.281407172557,2.86063415702019e-67,3.86096216380318e-65,b0311
betB,4.17314173069752,8.83967880874998,322.31769882115,4.52962093190001e-72,6.98694028745577e-70,b0312
betI,4.30814333349596,8.12182610283652,262.900295525869,4.00252627157169e-59,4.11593118259956e-57,b0313
betT,4.81817309000029,8.35798175649977,361.354715812563,1.42757852817274e-80,6.16571166317805e-78,b0314
bfd,4.76792036521313,4.50331447988502,208.943749916312,2.33513685758275e-47,1.29589093425206e-45,b3337
bfr,-0.102680664837211,7.43651755121917,0.174535634510718,0.676111907599281,0.859769665235242,b3336
bglA,0.0610295779938629,7.74424883924989,0.100603805953247,0.751106243022958,0.893179477867885,b2901
bglB,0,-0.993440807423094,0,1,1,b3721
bglF,0,-0.993440807423094,0,1,1,b3722
bglG,-0.292714787457269,0.652755788800345,0.172656241688927,0.677761830922891,0.860526115531357,b3723
bglH,0,-0.993440807423094,0,1,1,b3720
bglJ,4.05226619790192,4.59625689715035,238.092848475645,1.02460497800013e-53,7.76362964909222e-52,b4366
bglX,-0.196295130135228,7.47523661783809,1.07540144966396,0.299728565583609,0.566780943413139,b2132
bioA,0.775089722626123,6.19637370744682,13.664114419071,0.000218592006759394,0.00143917511767351,b0774
bioB,0.827885542110329,6.72463866607065,14.5853370712175,0.000133952805667729,0.000916865558920636,b3412
bioB,0.827885542110329,6.72463866607065,14.5853370712175,0.000133952805667729,0.000916865558920636,b0775
bioC,0.643050228822339,5.39663009964263,9.0273979868209,0.00265962793451939,0.0145404215812522,b0777
bioF,0.658252763792607,6.28277238539905,10.0833485626034,0.00149615192408669,0.00865044198143295,b0776
bioH,-0.0519720500602711,4.84956771958961,0.0674224587722234,0.795127322672189,0.922663865293172,b3412
bipA,0.341273259422621,10.1344626937263,2.09196206134247,0.148075788632881,0.35668674350553,b3871
birA,0.158831052134279,5.36734250871816,0.778805065005329,0.37750684267071,0.637892039708449,b3973
bisC,0.250241952505803,7.04686417222602,2.35075445378726,0.125222390167194,0.319265761461965,b3551
blc,0.686535370248967,4.90667207000955,8.63470597694514,0.00329818466552095,0.0176954777271863,b4149
blr,-1.22919475380372,3.74473501995635,26.5636605325941,2.54995262129757e-07,2.56121985381028e-06,b4409
bolA,0.665182659261652,6.83307852289247,6.18084636527881,0.0129140489861358,0.0581603520032538,b0435
borD,0.26968710498705,4.69525044164544,0.587450497455971,0.443406692393109,0.703816842129501,b0557
brnQ,-0.087197217213067,8.21168027737881,0.208729477315053,0.647765054268419,0.845898007184691,b0401
btuB,-0.156724509983353,7.12417068736659,0.591625645182263,0.441791179436113,0.702022113312941,b3966
btuC,-0.00918727946183104,4.55302027067887,0.00216173257401797,0.962916168763515,0.995889591209201,b1711
btuD,0.0733122855889974,5.79441660044429,0.146561963364617,0.701842761217673,0.87412873295539,b1709
btuE,0.458940564141239,5.85555469465051,5.19989895392648,0.0225882011960396,0.0907520381076233,b1710
btuF,0.0130110679089913,4.77471581484507,0.0030295768837032,0.956105328128237,0.994332572788843,b0158
btuR,-0.0686934469656919,5.33405479373233,0.105121016929685,0.745768669545186,0.891426484342832,b1270
cadA,-0.287721601644531,3.72127359030369,1.66591223512084,0.196806952641355,0.43500984056193,b4131
cadB,-0.126220908154432,2.32563771094139,0.0476206837592983,0.827256425801925,0.936823009905881,b4132
cadC,-0.908096645923823,3.62204784227969,14.9211087351064,0.000112101616935342,0.000779656817300714,b4133
caiA,-0.463169985838495,4.89142730135126,5.30810363968477,0.0212264491233124,0.0868976623351529,b0039
caiB,-0.432941410694182,4.09597146339141,4.26246490921108,0.0389633459082038,0.140352536261495,b0038
caiC,-0.466081374211307,4.62875538019103,6.54320767754657,0.0105285343012535,0.0488428997283717,b0037
caiD,0.194695473887608,2.35876072256102,0.283011311122648,0.594734255312951,0.814412570924741,b0036
caiE,-1.28287207816988,3.05982530314991,9.93480366054564,0.0016218273343919,0.0092772804032293,b0035
caiF,-3.37316729554386,6.15975173638586,194.507409594505,3.30004492855061e-44,1.65731326121047e-42,b0034
caiT,-0.309018972412389,2.40162047136544,0.372246283126946,0.541782390211019,0.77947923647015,b0040
can,1.58743899121228,8.54126069896598,69.7159345215449,6.84905625821937e-17,1.25343533810379e-15,b0126
carA,1.58538139361372,9.28046815060368,5.38339382882172,0.0203292940344878,0.0838607649808527,b0032
carB,1.42015881882639,10.0890019012502,4.82681683599345,0.0280203188445412,0.108246652137365,b0033
cbl,2.14481025014942,7.537970357638,102.756369661585,3.79005297934364e-24,9.0437783523675e-23,b1987
cbpA,-0.946102756577622,9.08391442348551,23.8223371832149,1.05649296867889e-06,9.78756051621665e-06,b1000
cbpM,-0.537345867101476,6.43829414515596,7.42069636792547,0.00644778565005361,0.0323062485180761,b0999
cbrA,-0.474075914315759,2.33402170466545,1.01524037602402,0.313650671939324,0.577432758783436,b3690
cbrC,0,-0.993440807423094,0,1,1,b3717
cca,0.126092500401103,7.5595293119756,0.388532231567751,0.533071933778551,0.774936951191371,b3056
cchA,-0.378564162708779,1.65418414066712,0.525191324041947,0.468635572689807,0.723155629197654,b2457
cchB,-0.285626044267792,0.2788426067458,0.140898883386407,0.707389030858979,0.877178646075203,b2456
ccmA,-0.767560999723865,4.92758630011035,17.9365540458602,2.28392169528257e-05,0.000174588633662397,b2201
ccmB,-0.765845663734288,3.44605322899619,6.67245621879241,0.0097914156837899,0.0461022410444836,b2200
ccmC,-0.909679875486875,4.32357420956432,20.7577393864964,5.21205113718266e-06,4.51119215661161e-05,b2199
ccmD,-0.497680993994299,2.23792391606028,2.1012794244147,0.147175941428815,0.35525508851027,b2198
ccmE,-1.04790075793089,4.53339095013278,28.2089418556326,1.08900306621474e-07,1.14160297159744e-06,b2197
ccmF,-0.44501431095508,4.76771720481739,4.64816037873112,0.0310868456034619,0.117668696126696,b2196
ccmG,-0.493189152611579,3.18554891233861,2.72914866942589,0.0985317948023724,0.274200271747066,b2195
ccmH,-0.458589763327284,4.19270949087703,3.88087288454486,0.0488391593074325,0.16754275540016,b2194
cdaR,-0.284817985480617,3.8897277976037,1.83950901292798,0.175008504834411,0.400350493845245,b0162
cdd,0.580555863855893,6.27576315964579,6.0207254574591,0.0141388336522118,0.0626314077373362,b2143
cdh,0.65143304159456,5.00836709733215,10.2435291247507,0.00137164912526864,0.00796257066133774,b3918
cdsA,0.141755995758415,6.37170077067776,0.582743060012209,0.445239133138473,0.704858965468619,b0175
cedA,0.306188624635213,3.16033619883538,1.29107615547016,0.25584972361084,0.51319507768843,b1731
cfa,-0.273796614885148,10.5138350092826,1.90000547219549,0.16807770652353,0.390073946520757,b1661
chaA,1.9240232485976,5.56419359176626,91.8830646105975,9.19525851400973e-22,2.00577381424283e-20,b1216
chaB,0.398628014407824,4.84785026302476,3.47384999446975,0.0623460439411741,0.199756174406471,b1217
chaC,0.150116566416065,6.7474650670072,0.667675198829907,0.413863314543479,0.675538796490283,b1218
chbA,-0.455345147594619,2.37912957833564,1.24613395060029,0.264292158388287,0.525956682105126,b1736
chbB,0.0592378632398661,3.27553547180918,0.0549057386716931,0.814736765271302,0.930546012804358,b1738
