bnumber,genes
b1105,lpoB
b1105,ycfM
b1106,thiK
b1106,ycfN
b1107,nagZ
b1107,ycfO
b1108,ycfP
b1109,ndh
b1110,ycfJ
b1111,comR
b1111,ycfQ
b1112,bhsA
b1112,comC
b1112,ycfR
b1113,ycfS
b1114,mfd
b1115,ycfT
b1116,lolC
b1116,ycfU
b1117,lolD
b1117,ycfV
b1118,lolE
b1118,ycfW
b1119,nagK
b1119,ycfX
b1120,cobB
b1120,ycfY
b1121,ycfZ
b1122,ymfA
b1123,potD
b1124,potC
b1125,potB
b1126,potA
b1127,pepT
b1128,roxA
b1128,ycfD
b1129,phoQ
b1130,phoP
b1131,purB
b1132,hflD
b1132,ycfC
b1133,mnmA
b1133,asuE
b1133,trmU
b1133,ycfB
b1134,nudJ
b1134,ymfB
b1135,rluE
b1135,ymfC
b1136,icd
b1136,icdA
b1136,icdE
b1137,ymfD
b1138,ymfE
b1139,lit
b1140,intE
b1140,ycfI
b1141,xisE
b1141,vxis
b1141,ymfG
b1142,NA
b1143,ymfI
b1144,ymfJ
b1145,cohE
b1145,ymfK
b1146,croE
b1146,ymfT
b1147,ymfL
b1148,ymfM
b1149,ymfN
b1150,ymfR
b1151,beeE
b1151,ymfO
b1152,jayE
b1152,ymfP
b1153,ymfQ
b1154,stfP
b1154,ycfK
b1155,ymfS
b1156,tfaE
b1156,ycfA
b1157,stfE
b1158,pinE
b1158,pin
b1159,mcrA
b1159,rglA
b1160,iraM
b1160,elb1
b1160,elbA
b1160,ycgW
b1161,ycgX
b1162,bluR
b1162,ycgE
b1163,bluF
b1163,blrp
b1163,ycgF
b1164,ycgZ
b1165,ymgA
b1166,ariR
b1166,ymgB
b1167,ymgC
b1168,ycgG
b1171,ymgD
b1172,ymgG
b1174,minE
b1175,minD
b1176,minC
b1177,ycgJ
b1178,pliG
b1178,ycgK
b1179,ycgL
b1180,ycgM
b1181,ycgN
b1182,hlyE
b1182,clyA
b1182,hpr
b1182,sheA
b1182,ycgD
b1183,umuD
b1184,umuC
b1185,dsbB
b1185,roxB
b1185,ycgA
b1186,nhaB
b1187,fadR
b1187,oleR
b1187,thdB
b1188,ycgB
b1189,dadA
b1189,dadR
b1190,dadX
b1190,alnB
b1190,dadB
b1191,cvrA
b1191,nhaP2
b1191,ycgO
b1192,ldcA
b1192,ycgQ
b1193,emtA
b1193,mltE
b1193,sltZ
b1193,ycgP
b1194,ycgR
b1195,ymgE
b1195,tag
b1196,ycgY
b1197,treA
b1197,osmA
b1198,dhaM
b1198,ycgC
b1199,dhaL
b1199,ycgS
b1200,dhaK
b1200,ycgT
b1201,dhaR
b1201,ycgU
b1202,ycgV
b1203,ychF
b1203,engD
b1203,gtp1
b1204,pth
b1205,ychH
b1206,dauA
b1206,ychM
b1207,prs
b1207,prsA
b1208,ispE
b1208,ipk
b1208,ychB
b1209,lolB
b1209,hemM
b1209,ychC
b1210,hemA
b1211,prfA
b1211,sueB
b1211,uar
b1212,prmC
b1212,hemK
b1213,sirB2
b1213,ychQ
b1214,sirB1
b1214,ychA
b1215,kdsA
b1216,chaA
b1217,chaB
b1218,chaC
b1219,ychN
b1220,ychO
b1220,ychP
b1221,narL
b1221,frdR
b1222,narX
b1222,narR
b1223,narK
b1224,narG
b1224,bisD
b1224,narC
b1225,narH
b1226,narJ
b1227,narI
b1227,chlI
b1228,ychS
b1229,tpr
b1232,purU
b1232,tgs
b1232,ychI
b1233,ychJ
b1234,rssA
b1234,ychK
b1235,rssB
b1235,hnr
b1235,sprE
b1235,ychL
b1236,galU
b1236,ychD
b1237,hns
b1237,bglY
b1237,cur
b1237,drdX
b1237,hnsA
b1237,msyA
b1237,osmZ
b1237,pilG
b1237,topS
b1238,tdk
b1241,adhE
b1241,ana
b1242,ychE
b1243,oppA
b1244,oppB
b1245,oppC
b1246,oppD
b1247,oppF
b1248,yciU
b1249,clsA
b1249,cls
b1249,nov
b1249,yciJ
b1250,kch
b1251,yciI
b1252,tonB
b1252,exbA
b1253,yciA
b1254,yciB
b1254,ispZ
b1255,yciC
b1256,ompW
b1256,yciD
b1257,yciE
b1258,yciF
b1259,yciG
b1260,trpA
b1261,trpB
b1262,trpC
b1262,trpF
b1263,trpGD
b1263,trpD
b1264,trpE
b1265,trpL
b1265,trpEE
b1266,yciV
b1266,trpH
b1267,yciO
b1268,yciQ
b1268,yciP
b1269,rluB
b1269,yciL
b1270,btuR
b1270,cobA
b1271,yciK
b1272,sohB
b1273,yciN
b1274,topA
b1274,supX
b1275,cysB
b1276,acnA
b1276,acn
b1277,ribA
b1278,pgpB
b1279,lapA
b1279,yciS
b1280,lapB
b1280,yciM
b1281,pyrF
b1282,yciH
b1283,osmB
b1284,yciT
b1285,gmr
b1285,yciR
b1286,rnb
b1287,yciW
b1288,fabI
b1288,envM
b1289,ycjD
b1290,sapF
b1291,sapD
b1292,sapC
b1293,sapB
b1294,sapA
b1295,ymjA
b1296,puuP
b1296,ycjJ
b1297,puuA
b1297,ycjK
b1298,puuD
b1298,ycjL
b1299,puuR
b1299,ycjC
b1300,puuC
b1300,aldH
b1301,puuB
b1301,ordL
b1301,ycjA
b1302,puuE
b1302,goaG
b1303,pspF
b1303,ycjB
b1304,pspA
b1305,pspB
b1306,pspC
b1307,pspD
b1308,pspE
b1309,ycjM
b1310,ycjN
b1311,ycjO
b1312,ycjP
b1313,ycjQ
b1314,ycjR
b1315,ycjS
b1316,ycjT
b1317,ycjU
b1319,ompG
b1320,ycjW
b1321,ycjX
b1322,ycjF
b1323,tyrR
b1324,tpx
b1324,yzzJ
b1325,ycjG
b1325,ycjH
b1326,mpaA
b1326,ycjI
b1327,ycjY
b1328,pgrR
b1328,ycjZ
b1329,mppA
b1329,ynaH
b1330,ynaI
b1331,insH4
b1332,ynaJ
b1333,uspE
b1333,ydaA
b1334,fnr
b1334,nirR
b1335,ogt
b1336,abgT
b1336,ydaH
b1337,abgB
b1337,ydaI
b1338,abgA
b1338,ydaJ
b1339,abgR
b1340,smrA
b1340,ydaL
b1341,ydaM
b1342,zntB
b1342,ydaN
b1343,dbpA
b1344,ttcA
b1344,ydaO
b1345,intR
b1345,ydaP
b1346,ydaQ
b1347,rcbA
b1347,ydaC
b1348,ralR
b1348,lar
b1348,ral
b1348,ydaB
b1349,recT
b1350,recE
b1351,racC
b1352,kilR
b1352,kil
b1352,ydaD
b1353,sieB
b1355,ydaG
b1356,racR
b1356,ydaR
b1357,ydaS
b1358,ydaT
b1359,ydaU
b1360,ydaV
b1361,ydaW
b1362,rzpR
b1363,trkG
b1365,ynaK
b1366,ydaY
b1368,ynaA
b1370,insH5
b1372,stfR
b1372,ynaB
b1373,tfaR
b1373,ynaC
b1374,pinR
b1374,ynaD
b1375,ynaE
b1376,uspF
b1376,ynaF
b1376,yzzL
b1377,ompN
b1377,ynaG
b1378,ydbK
b1379,hslJ
b1379,ydbI
b1380,ldhA
b1380,hslI
b1380,htpH
b1381,ydbH
b1382,ynbE
b1383,ydbL
b1384,feaR
b1384,maoB
b1384,maoR
b1384,ydbM
b1385,feaB
b1385,maoB
b1385,padA
b1385,ydbG
b1386,tynA
b1386,maoA
b1387,paaZ
b1387,maoC
b1387,ydbN
b1388,paaA
b1388,ydbO
b1389,paaB
b1389,ynbF
b1390,paaC
b1390,ydbP
b1391,paaD
b1391,ydbQ
b1392,paaE
b1392,ydbR
b1393,paaF
b1393,ydbR
b1394,paaG
b1394,ydbT
b1395,paaH
b1395,ydbU
b1396,paaI
b1396,ydbV
b1397,paaJ
b1397,paaE
b1397,ydbW
b1398,paaK
b1399,paaX
b1399,ydbY
b1400,paaY
b1400,ydbZ
b1402,insD2
b1403,insC2
b1404,insI3
b1406,ydbC
b1407,ydbD
b1408,ynbA
b1409,ynbB
b1410,ynbC
b1411,ynbD
b1412,azoR
b1412,acpD
b1413,hrpA
b1414,ydcF
b1415,aldA
b1415,ald
b1418,cybB
b1419,ydcA
b1420,mokB
b1421,trg
b1422,ydcI
b1423,ydcJ
b1424,mdoD
b1424,opgD
b1424,ydcG
b1424,yzzZ
b1426,ydcH
b1427,rimL
b1428,ydcK
b1429,tehA
b1430,tehB
b1431,ydcL
b1432,insQ
b1432,tnpB
b1432,ydcM
b1433,ydcO
b1434,sutR
b1434,ydcN
b1435,ydcP
b1436,yncJ
b1438,hicB
b1438,ydcQ
b1439,ydcR
b1440,ydcS
b1441,ydcT
b1442,ydcU
b1443,ydcV
b1444,prr
b1444,ydcW
b1445,ortT
b1445,ydcX
b1446,ydcY
b1447,ydcZ
b1448,mnaT
b1448,yncA
b1449,curA
b1449,yncB
b1450,mcbR
b1450,yncC
b1451,yncD
b1452,yncE
b1453,ansP
b1453,yncF
b1454,yncG
b1455,yncH
b1456,rhsE
b1457,ydcD
b1459,yncI
b1459,yncM
b1460,ydcC
b1461,pptA
b1461,ydcE
b1462,yddH
b1463,nhoA
b1463,yddI
b1464,yddE
b1465,narV
b1466,narW
b1467,narY
b1468,narZ
b1469,narU
b1469,yddF
b1470,yddJ
b1471,yddK
b1472,yddL
b1473,yddG
b1474,fdnG
b1475,fdnH
b1476,fdnI
b1477,yddM
b1478,adhP
b1478,yddN
b1479,maeA
b1479,sfcA
b1480,sra
b1480,rpsV
b1481,bdm
b1481,yddX
b1482,osmC
b1483,ddpF
b1483,yddO
b1484,ddpD
b1484,yddP
b1485,ddpC
b1485,yddQ
b1486,ddpB
b1486,yddR
b1487,ddpA
b1487,yddS
b1488,ddpX
b1488,vanX
b1488,yddT
b1489,dosP
b1489,dos
b1489,yddU
b1490,dosC
b1490,yddV
b1491,yddW
b1492,gadC
b1492,acsA
b1492,xasA
b1493,gadB
b1494,pqqL
b1494,yddC
b1495,yddB
b1496,yddA
b1497,ydeM
b1498,ydeN
b1499,ydeO
b1500,safA
b1500,yneN
b1501,ydeP
b1502,ydeQ
b1503,ydeR
b1504,ydeS
b1505,ydeT
b1506,yneL
b1507,hipA
b1508,hipB
b1509,ydeU
b1510,ydeK
b1510,orfT
b1511,lsrK
b1511,ydeV
b1512,lsrR
b1512,ydeW
b1513,lsrA
b1513,ego
b1513,ydeX
b1514,lsrC
b1514,ydeY
b1515,lsrD
b1515,ydeZ
b1516,lsrB
b1516,yneA
b1517,lsrF
b1517,yneB
b1518,lsrG
b1518,yneC
b1519,tam
b1519,yneD
b1520,yneE
b1521,uxaB
b1522,yneF
b1523,yneG
b1524,glsA2
b1524,yneH
b1525,sad
b1525,yneI
b1526,yneJ
b1527,yneK
b1528,sotB
b1528,ydeA
b1529,marC
b1529,ydeB
b1529,ydeC
b1530,marR
b1530,cfxB
b1530,inaR
b1530,soxQ
b1531,marA
b1532,marB
b1533,eamA
b1533,ydeD
b1534,ydeE
b1534,ydeF
b1535,ydeH
b1535,ydeG
b1536,ydeI
b1537,ydeJ
b1538,dcp
b1539,ydfG
b1540,rspR
b1540,ydfH
b1541,ydfZ
b1542,ydfI
b1544,ydfK
b1545,pinQ
b1545,ydfL
b1546,tfaQ
b1546,ydfM
b1547,stfQ
b1547,ydfN
b1548,nohA
b1549,ydfO
b1550,gnsB
b1550,ydfY
b1551,ynfN
b1552,cspI
b1552,cspJ
b1553,rzpQ
b1553,ydfP
b1554,arrQ
b1554,ydfQ
b1555,ydfR
b1556,essQ
b1556,ydfS
b1557,cspB
b1558,cspF
b1559,quuQ
b1559,ydfT
b1560,ydfU
b1561,rem
b1562,hokD
b1562,relF
b1563,relE
b1564,relB
b1565,ydfV
b1566,flxA
b1567,ydfW
b1568,ydfX
b1569,dicC
b1570,dicA
b1571,ydfA
b1572,ydfB
b1573,ydfC
b1573,rzpQ
b1575,dicB
b1576,ydfD
b1577,ydfE
b1578,insD8
b1579,intQ
b1580,rspB
b1581,rspA
b1582,ynfA
b1583,ynfB
b1584,speG
b1585,ynfC
b1586,ynfD
b1587,ynfE
b1588,ynfF
b1589,ynfG
b1590,ynfH
b1591,dmsD
b1591,ynfI
b1592,clcB
b1592,mriT
b1592,ynfJ
b1593,bioD2
b1593,ynfK
b1594,mlc
b1595,ynfL
b1596,ynfM
b1596,yzyC
b1597,asr
b1598,ydgD
b1599,mdtI
b1599,ydgE
b1600,mdtJ
b1600,ydgF
b1601,tqsA
b1601,ydgG
b1602,pntB
b1603,pntA
b1604,ydgH
b1605,ydgI
b1606,folM
b1606,ydgB
b1607,ydgC
b1608,rstA
b1608,urpT
b1609,rstB
b1609,uspT
b1610,tus
b1610,tau
b1611,fumC
b1612,fumA
b1613,manA
b1613,pmi
b1614,ydgA
b1615,uidC
b1615,gusC
b1616,uidB
b1616,gusB
b1616,uidP
b1617,uidA
b1617,gurA
b1617,gusA
b1618,uidR
b1618,gusR
b1619,hdhA
b1619,hsdH
b1620,malI
b1621,malX
b1622,malY
b1623,add
b1624,ydgJ
b1625,cnu
b1625,ydgT
b1626,ydgK
b1627,rsxA
b1627,rnfA
b1627,ydgL
b1628,rsxB
b1628,rnfB
b1628,ydgM
b1629,rsxC
b1629,rnfC
b1629,ydgN
b1630,rsxD
b1630,rnfD
b1630,ydgO
b1631,rsxG
b1631,rnfG
b1631,ydgP
b1632,rsxE
b1632,rnfE
b1632,ydgQ
b1633,nth
b1634,dtpA
b1634,tppB
b1634,ydgR
b1635,gstA
b1635,gst
b1636,pdxY
b1636,ydgS
b1637,tyrS
b1638,pdxH
b1639,mliC
b1639,ydhA
b1640,anmK
b1640,ydhH
b1641,slyB
b1642,slyA
b1643,ydhI
b1644,ydhJ
b1645,ydhK
b1646,sodC
b1647,ydhF
b1648,ydhL
b1649,nemR
b1649,ydhM
b1650,nemA
b1650,ydhN
b1651,gloA
b1652,rnt
b1653,lhr
b1653,rhlF
b1654,grxD
b1654,ydhD
b1655,mepH
b1655,ydhO
b1656,sodB
b1657,ydhP
b1658,purR
b1659,ydhB
b1660,ydhC
b1661,cfa
b1661,cdfA
b1662,ribC
b1662,ribE
b1663,mdtK
b1663,norE
b1663,norM
b1663,ydhE
b1664,ydhQ
b1667,ydhR
b1668,ydhS
b1669,ydhT
b1670,ydhU
b1671,ydhX
b1672,ydhW
b1673,ydhV
b1674,ydhY
b1675,ydhZ
b1676,pykF
b1677,lpp
b1677,mlpA
b1677,mulI
b1678,ynhG
b1679,sufE
b1679,ynhA
b1680,sufS
b1680,csdB
b1680,ynhB
b1681,sufD
b1681,ynhC
b1682,sufC
b1682,ynhD
b1683,sufB
b1683,ynhE
b1684,sufA
b1684,ydiC
b1685,ydiH
b1686,menI
b1686,ydiI
b1687,ydiJ
b1688,ydiK
b1689,ydiL
b1690,ydiM
b1691,ydiN
b1693,aroD
b1694,ydiF
b1695,ydiO
b1696,ydiP
b1697,ydiQ
b1698,ydiR
b1699,ydiS
b1700,ydiT
b1701,fadK
b1701,ydiD
b1702,ppsA
b1702,pps
b1703,ppsR
b1703,ydiA
b1704,aroH
b1705,ydiE
b1706,ydiU
b1707,ydiV
b1707,cdgR
b1708,nlpC
b1709,btuD
b1710,btuE
b1711,btuC
b1712,ihfA
b1712,hid
b1712,himA
b1713,pheT
b1714,pheS
b1715,pheM
b1715,phtL
b1716,rplT
b1716,pdzA
b1717,rpmI
b1718,infC
b1718,fit
b1718,srjA
b1719,thrS
b1722,ydiY
b1723,pfkB
b1724,ydiZ
b1725,yniA
b1726,yniB
b1727,yniC
b1728,ydjM
b1729,ydjN
b1730,ydjO
b1731,cedA
b1731,ydjP
b1732,katE
b1733,chbG
b1733,ydjC
b1734,chbF
b1734,celF
b1734,ydjD
b1735,chbR
b1735,celD
b1736,chbA
b1736,celC
b1737,chbC
b1737,celB
b1738,chbB
b1738,celA
b1739,osmE
b1739,anr
b1740,nadE
b1740,efg
b1740,ntrL
b1741,cho
b1741,ydjQ
b1742,ves
b1742,ydjR
b1743,spy
b1744,astE
b1744,ydjS
b1745,astB
b1745,ydjT
b1746,astD
b1746,ydjU
b1747,astA
b1747,ydjV
b1748,astC
b1748,argM
b1748,cstC
b1748,ydjW
b1749,xthA
b1749,xth
b1750,ydjX
b1751,ydjY
b1752,ydjZ
b1753,ynjA
b1754,ynjB
b1755,ynjC
b1756,ynjD
b1757,ynjE
b1758,ynjF
b1759,nudG
b1759,ynjG
b1760,ynjH
b1761,gdhA
b1762,ynjI
b1763,topB
b1764,selD
b1764,fdhB
b1765,ydjA
b1766,sppA
b1767,ansA
b1768,pncA
b1768,nam
b1768,ydjB
b1769,ydjE
b1770,ydjF
b1771,ydjG
b1772,ydjH
b1773,ydjI
b1774,ydjJ
b1775,ydjK
b1776,ydjL
b1777,yeaC
b1778,msrB
b1778,yeaA
b1779,gapA
b1780,yeaD
b1780,yzzQ
b1781,yeaE
b1782,mipA
b1782,yeaF
b1783,yeaG
b1784,yeaH
b1785,yeaI
b1786,yeaJ
b1787,yeaK
b1788,yoaI
b1789,yeaL
b1790,nimR
b1790,yeaM
b1791,nimT
b1791,yeaN
b1792,yeaO
b1793,yoaF
b1794,yeaP
b1795,yeaQ
b1796,yoaG
b1797,yeaR
b1798,leuE
b1798,yeaS
b1799,dmlR
b1799,yeaT
b1800,dmlA
b1800,yeaU
b1801,yeaV
b1802,yeaW
b1803,yeaX
b1804,rnd
b1805,fadD
b1805,oldD
b1806,yeaY
b1807,tsaB
b1807,yeaZ
b1808,yoaA
b1809,yoaB
b1810,yoaC
b1811,yoaH
b1812,pabB
b1813,nudL
b1813,yeaB
b1814,sdaA
b1815,adrB
b1815,yoaD
b1816,yoaE
b1817,manX
b1817,gptB
b1817,ptsL
b1818,manY
b1818,pel
b1818,ptsP
b1819,manZ
b1819,gptB
b1819,ptsM
b1820,yobD
b1821,mntP
b1821,yebN
b1822,rlmA
b1822,rrmA
b1822,yebH
b1823,cspC
b1823,msmB
b1824,yobF
b1825,yebO
b1826,mgrB
b1826,yobG
b1827,kdgR
b1827,yebP
b1828,yebQ
b1829,htpX
b1830,prc
b1830,tsp
b1831,proQ
b1831,yebJ
b1831,yobE
b1831,yoeC
b1832,msrC
b1832,yebR
b1833,yebS
b1834,yebT
b1835,rsmF
b1835,yebU
b1836,yebV
b1837,yebW
b1838,pphA
b1838,prpA
b1838,yebX
b1839,yebY
b1840,yebZ
b1841,yobA
b1842,holE
b1843,yobB
b1844,exoX
b1844,yobC
b1845,ptrB
b1845,tlp
b1846,yebE
b1847,yebF
b1848,yebG
b1849,purT
b1850,eda
b1850,hga
b1850,kdgA
b1851,edd
b1852,zwf
b1853,hexR
b1853,yebK
b1854,pykA
b1855,lpxM
b1855,msbB
b1856,mepM
b1856,yebA
b1857,znuA
b1857,yebL
b1857,yzzP
b1858,znuC
b1858,yebM
b1859,znuB
b1859,yebI
b1860,ruvB
b1861,ruvA
b1862,yebB
b1863,ruvC
b1864,yebC
b1865,nudB
b1865,ntpA
b1866,aspS
b1866,tls
b1867,yecD
b1868,yecE
b1869,yecN
b1870,cmoA
b1870,yecO
b1871,cmoB
b1871,yecP
b1872,torZ
b1872,bisZ
b1873,torY
b1873,yecK
b1874,cutC
b1874,cutCM
b1875,yecM
b1875,yecL
b1876,argS
b1877,yecT
b1878,flhE
b1879,flhA
b1880,flhB
b1880,yecQ
b1881,cheZ
b1882,cheY
b1883,cheB
b1884,cheR
b1884,cheX
b1885,tap
b1886,tar
b1886,cheM
b1887,cheW
b1888,cheA
b1889,motB
b1890,motA
b1890,flaJ
b1891,flhC
b1891,flaI
b1892,flhD
b1892,flbB
b1893,insB5
b1894,insA5
b1895,uspC
b1895,yecG
b1896,otsA
b1897,otsB
b1900,araG
b1901,araF
b1902,ftnB
b1902,yecI
b1904,yecR
b1905,ftnA
b1905,ftn
b1905,gen-165
b1905,rsgA
b1906,yecH
b1907,tyrP
b1908,yecA
b1912,pgsA
b1913,uvrC
b1914,uvrY
b1914,yecB
b1915,yecF
b1916,sdiA
b1917,yecC
b1918,yecS
b1919,dcyD
b1919,yedO
b1920,fliY
b1920,yzzR
b1921,fliZ
b1921,yedH
b1922,fliA
b1922,flaD
b1922,rpoF
b1923,fliC
b1923,flaF
b1923,hag
b1924,fliD
b1924,flaV
b1924,flbC
b1925,fliS
b1926,fliT
b1927,amyA
b1927,yedC
b1928,yedD
b1929,yedE
b1930,yedF
b1931,yedK
b1931,yedG
b1932,yedL
b1935,yedM
b1936,intG
b1937,fliE
b1937,flaAI
b1937,flaN
b1938,fliF
b1938,flaAII.1
b1938,flaBI
b1939,fliG
b1939,flaAII.2
b1939,flaBII
b1940,fliH
b1940,flaAII.3
b1940,flaBIII
b1941,fliI
b1941,flaAIII
b1941,flaC
b1942,fliJ
b1942,flaO
b1942,flaS
b1943,fliK
b1943,flaE
b1943,flaR
b1944,fliL
b1944,cheC1
b1944,flaAI
b1944,flaQI
b1945,fliM
b1945,cheC2
b1945,flaAII
b1945,flaQII
b1946,fliN
b1946,flaN
b1946,motD
b1947,fliO
b1947,flaP
b1947,flbD
b1948,fliP
b1948,flaR
b1949,fliQ
b1949,flaQ
b1950,fliR
b1950,flaP
b1951,rcsA
b1952,dsrB
b1953,yodD
b1955,yedP
b1956,yedQ
b1957,yodC
b1958,yedI
b1959,yedA
b1960,vsr
b1961,dcm
b1961,mec
b1962,yedJ
b1963,yedR
b1967,hchA
b1967,yedU
b1967,yzzC
b1968,yedV
b1969,yedW
b1970,hiuH
b1970,yedX
b1971,msrP
b1971,yedY
b1972,msrQ
b1972,yedZ
b1973,zinT
b1973,yodA
b1974,yodB
b1976,mtfA
b1976,yeeI
b1978,yeeJ
b1981,shiA
b1981,yeeM
b1982,amn
b1983,yeeN
b1985,yeeO
b1987,cbl
b1988,nac
b1990,erfK
b1990,yeeG
b1990,yzzT
b1991,cobT
b1992,cobS
b1993,cobU
b1994,insH6
b1996,insD3
b1997,insC3
b1999,yeeP
b2000,flu
b2000,yeeQ
b2000,yzzX
b2001,yeeR
b2002,yeeS
b2003,yeeT
b2004,cbeA
b2004,yeeU
b2005,cbtA
b2005,yeeV
b2006,yeeW
b2007,yeeX
b2008,yeeA
b2009,sbmC
b2009,gyrI
b2009,yeeB
b2010,dacD
b2010,phsE
b2010,yeeC
b2011,sbcB
b2011,cpeA
b2011,xonA
b2012,yeeD
b2013,yeeE
b2014,plaP
b2014,yeeF
b2015,yeeY
b2016,yeeZ
b2017,yefM
b2018,hisL
b2019,hisG
b2020,hisD
b2021,hisC
b2022,hisB
b2023,hisH
b2024,hisA
b2025,hisF
b2026,hisI
b2026,hisIE
b2027,wzzB
b2027,cld
b2027,rol
b2027,wzz
b2028,ugd
b2028,pmrE
b2028,udg
b2028,yefA
b2029,gnd
b2030,insH7
b2032,wbbK
b2032,yefI
b2033,wbbJ
b2033,yefH
b2034,wbbI
b2034,yefG
b2035,rfc
b2035,yefF
b2036,glf
b2036,yefE
b2037,rfbX
b2037,wzx
b2038,rfbC
b2038,rmlC
b2039,rfbA
b2039,rmlA
b2039,rmlA1
b2040,rfbD
b2040,rmlD
b2041,rfbB
b2041,rmlB
b2042,galF
b2042,wcaN
b2043,wcaM
b2043,yefK
b2044,wcaL
b2044,yefL
b2045,wcaK
b2046,wzxC
b2046,wzx
b2047,wcaJ
b2048,manB
b2048,cpsG
b2048,rfbL
b2049,manC
b2049,cpsB
b2049,rfbM
b2050,wcaI
b2050,yefD
b2051,gmm
b2051,nudD
b2051,wcaH
b2051,yefC
b2052,fcl
b2052,wcaG
b2052,yefB
b2053,gmd
b2053,yefA
b2053,yefN
b2054,wcaF
b2055,wcaE
b2056,wcaD
b2057,wcaC
b2058,wcaB
b2059,wcaA
b2060,wzc
b2061,wzb
b2062,wza
b2063,yegH
b2064,asmA
b2064,yegA
b2065,dcd
b2065,dus
b2065,paxA
b2066,udk
b2067,yegE
b2068,alkA
b2068,aidA
b2069,yegD
b2070,yegI
b2071,yegJ
b2072,yegK
b2073,yegL
b2074,mdtA
b2074,yegM
b2075,mdtB
b2075,yegN
b2076,mdtC
b2076,yegO
b2077,mdtD
b2077,yegB
b2078,baeS
b2079,baeR
b2080,yegP
b2081,yegQ
b2082,ogrK
b2085,yegR
b2086,yegS
b2088,insE5
b2089,insF5
b2091,gatD
b2092,gatC
b2093,gatB
b2094,gatA
b2095,gatZ
b2096,gatY
b2096,yegF
b2097,fbaB
b2097,dhnA
b2098,yegT
b2099,yegU
b2100,yegV
b2101,yegW
b2102,yegX
b2103,thiD
b2103,thiJ
b2104,thiM
b2105,rcnR
b2105,yohL
b2106,rcnA
b2106,yohM
b2107,rcnB
b2107,yohN
b2108,yehA
b2109,yehB
b2110,yehC
b2111,yehD
b2112,yehE
b2113,mrp
b2114,metG
b2118,yehI
b2119,yehL
b2120,yehM
b2120,yehN
b2120,yehO
b2121,yehP
b2122,yehQ
b2123,yehR
b2124,yehS
b2125,yehT
b2126,yehU
b2127,mlrA
b2127,yehV
b2128,yehW
b2129,yehX
b2130,yehY
b2131,yehZ
b2131,osmF
b2132,bglX
b2132,yohA
b2133,dld
b2134,pbpG
b2134,yohB
b2135,yohC
b2136,yohD
b2137,yohF
b2137,yohE
b2139,mdtQ
b2139,yohG
b2139,yohH
b2140,dusC
b2140,yohI
b2141,yohJ
b2142,yohK
b2143,cdd
b2144,sanA
b2144,yeiF
b2145,yeiS
b2146,preT
b2146,yeiT
b2147,preA
b2147,yeiA
b2148,mglC
b2149,mglA
b2150,mglB
b2151,galS
b2152,yeiB
b2153,folE
b2154,yeiG
b2155,cirA
b2155,cir
b2155,feuA
b2156,lysP
b2156,cadR
b2157,yeiE
b2158,yeiH
b2159,nfo
b2160,yeiI
b2161,nupX
b2161,yeiJ
b2162,rihB
b2162,yeiK
b2163,yeiL
b2163,nsr
b2164,psuT
b2164,pscT
b2164,yeiM
b2165,psuG
b2165,pscG
b2165,yeiN
b2166,psuK
b2166,pscK
b2166,yeiC
b2167,fruA
b2167,ptsF
b2168,fruK
b2168,fpk
b2169,fruB
b2169,fpr
b2169,fruF
b2170,setB
b2170,yeiO
b2171,yeiP
b2172,yeiQ
b2173,yeiR
b2174,lpxT
b2174,yeiU
b2175,mepS
b2175,spr
b2175,yeiV
b2176,rtn
b2177,yejA
b2178,yejB
b2179,yejE
b2180,yejF
b2181,yejG
b2182,bcr
b2182,bicA
b2182,bicR
b2182,sur
b2182,suxA
b2183,rsuA
b2183,yejD
b2184,radD
b2184,yejH
b2184,yejI
b2184,yejJ
b2185,rplY
b2186,yejK
b2187,yejL
b2188,yejM
b2188,yejN
b2190,yejO
b2192,insH8
b2193,narP
b2194,ccmH
b2194,yejP
b2195,dsbE
b2195,ccmG
b2195,yejQ
b2196,ccmF
b2196,yejR
b2197,ccmE
b2197,yejS
b2198,ccmD
b2198,yojM
b2199,ccmC
b2199,yejT
b2199,yejU
b2200,ccmB
b2200,yejV
b2201,ccmA
b2201,yejW
b2202,napC
b2202,yejX
b2203,napB
b2203,yejY
b2204,napH
b2204,yejZ
b2205,napG
b2205,yojA
b2205,yojB
b2206,napA
b2206,yojC
b2206,yojD
b2206,yojE
b2207,napD
b2207,yojF
b2208,napF
b2208,yojG
b2209,eco
b2209,eti
b2210,mqo
b2210,yojH
b2211,yojI
b2211,yojJ
b2212,alkB
b2212,aidD
b2213,ada
b2214,apbE
b2214,yojK
b2214,yojL
b2215,ompC
b2215,meoA
b2215,par
b2216,rcsD
b2216,yojN
b2216,yojP
b2216,yojQ
b2217,rcsB
b2218,rcsC
b2219,atoS
b2220,atoC
b2220,az
b2221,atoD
b2222,atoA
b2223,atoE
b2224,atoB
b2225,yfaP
b2226,yfaQ
b2229,yfaT
b2230,yfaA
b2230,pufY
b2231,gyrA
b2231,hisW
b2231,nalA
b2231,parD
b2232,ubiG
b2232,pufX
b2232,yfaB
b2233,yfaL
b2233,yfaF
b2233,yfaJ
b2233,yfaK
b2234,nrdA
b2234,dnaF
b2235,nrdB
b2235,ftsB
b2236,yfaE
b2237,inaA
b2237,yfaG
