bnumber,E14R012a01,E14R012a02,E14R012a03,E14R012a04,E14R012a05,E14R012a06,E14R012b01,E14R012b02,E14R012b03,E14R012b04,E14R012b05,E14R012b06,E14R012c01,E14R012c02,E14R012c03,E14R012c04,E14R012c05,E14R012c06
b0001,6.9230769230769225,9.692307692307693,10.276923076923078,9.676923076923076,7.184615384615384,5.815384615384616,4.984615384615385,9.153846153846152,11.03076923076923,16.107692307692307,19.861538461538466,22.446153846153845,5.9692307692307685,13.830769230769231,19.415384615384614,16.03076923076923,7.046153846153847,13.261538461538462
b0002,9.127538586515028,7.1543460601137285,8.335905767668562,14.721770917952886,5.24817221770918,2.3671811535337124,4.750609260763606,4.254264825345248,11.614541023558084,12.418359057676685,16.33306255077173,12.347684809098293,2.469943135662064,7.501624695369617,14.976441917140537,12.17059301380991,6.330625507717303,7.26157595450853
b0003,5.783261802575108,5.356223175965665,5.854077253218883,11.162017167381975,3.140557939914163,2.3143776824034337,3.947424892703863,3.5171673819742484,6.687768240343348,8.754291845493562,10.740343347639485,9.646995708154506,2.0364806866952794,6.72961373390558,11.67489270386266,8.254291845493562,3.76931330472103,5.448497854077253
b0004,8.189735614307931,6.174183514774494,6.796267496111975,11.091757387247279,3.6998444790046663,2.9673405909797816,4.258164852255056,3.727838258164853,8.034214618973559,7.9517884914463455,10.874805598755831,10.173405909797825,2.2877138413685847,8.028771384136858,13.246500777604975,9.359253499222397,4.303265940902022,6.218506998444791
b0005,0.31756756756756754,0.2195945945945946,0.2972972972972973,0.4189189189189189,0.1925675675675676,0.20608108108108109,0.21283783783783786,0.1858108108108108,0.3581081081081081,0.3006756756756757,0.4358108108108108,0.4695945945945946,0.09797297297297296,0.40202702702702703,0.625,0.5067567567567568,0.17905405405405406,0.22297297297297294
b0006,0.3956185567010309,0.36726804123711343,0.41365979381443296,0.6675257731958762,0.3479381443298969,0.3131443298969072,0.18298969072164947,0.2525773195876289,0.5412371134020618,0.5322164948453608,0.5167525773195877,0.5347938144329897,0.11855670103092784,0.4987113402061856,0.8685567010309279,0.6958762886597938,0.3118556701030928,0.3337628865979381
b0007,0.0965034965034965,0.07132867132867132,0.05244755244755245,0.07622377622377623,0.03146853146853147,0.03006993006993007,0.05174825174825175,0.033566433566433566,0.061538461538461535,0.06013986013986014,0.061538461538461535,0.08531468531468532,0.038461538461538464,0.0993006993006993,0.1041958041958042,0.07552447552447553,0.04335664335664336,0.033566433566433566
b0008,9.237145855194123,7.139559286463799,7.629590766002098,11.501573976915006,5.912906610703042,5.18887722980063,5.143756558237147,4.747114375655824,10.219307450157398,10.535152151101784,12.321091290661071,11.858342077649526,3.052465897166841,10.342077649527807,17.15005246589717,12.371458551941238,5.805876180482687,6.950682056663169
b0009,0.4105621805792163,0.3287904599659284,0.3049403747870528,0.4906303236797274,0.24872231686541735,0.272572402044293,0.262350936967632,0.2282793867120954,0.3577512776831346,0.4412265758091993,0.4395229982964225,0.4020442930153322,0.12436115843270867,0.4770017035775128,0.7223168654173765,0.4633730834752982,0.1635434412265758,0.2555366269165247
b0010,0.2226148409893993,0.17314487632508835,0.20848056537102475,0.2579505300353357,0.16784452296819788,0.14664310954063606,0.17314487632508835,0.11307420494699645,0.2579505300353357,0.2385159010600707,0.21908127208480568,0.2473498233215548,0.10247349823321557,0.2632508833922261,0.353356890459364,0.3003533568904594,0.12897526501766785,0.15371024734982333
b0011,0.025245441795231416,0.014025245441795231,0.005610098176718092,0.019635343618513323,0.0042075736325385684,0.011220196353436185,0.009817671809256662,0.008415147265077139,0.009817671809256662,0.019635343618513323,0.012622720897615708,0.030855539971949505,0.002805049088359046,0.0182328190743338,0.011220196353436185,0.015427769985974752,0.008415147265077139,0.008415147265077139
b0013,0.034653465346534656,0.01485148514851485,0.0198019801980198,0.03217821782178218,0.01485148514851485,0.024752475247524757,0.024752475247524757,0.0099009900990099,0.03217821782178218,0.037128712871287134,0.034653465346534656,0.056930693069306926,0.0024752475247524753,0.04455445544554455,0.054455445544554455,0.04455445544554455,0.012376237623762377,0.01485148514851485
b0014,7.926931106471816,6.1137787056367445,6.3559498956158675,10.830897703549061,6.514091858037577,7.88204592901879,4.6623173277661785,3.611169102296451,8.103862212943632,8.086638830897702,10.521920668058453,10.414926931106473,2.4467640918580376,8.828288100208768,14.725469728601253,10.884655532359083,5.352296450939456,7.2567849686847605
b0015,1.1690265486725664,0.9415929203539825,0.9601769911504424,1.6115044247787609,1.0008849557522124,1.4061946902654867,0.7017699115044248,0.5920353982300885,1.3946902654867257,1.2309734513274335,1.811504424778761,1.8672566371681416,0.3575221238938053,1.3353982300884957,2.4734513274336285,1.6451327433628318,0.6663716814159292,1.1761061946902656
b0018,0.09569377990430622,0.0430622009569378,0.04784688995215311,0.04784688995215311,0.009569377990430622,0.023923444976076555,0.062200956937799035,0.023923444976076555,0.02870813397129187,0.05263157894736842,0.03827751196172249,0.05263157894736842,0.014354066985645932,0.10047846889952153,0.07655502392344497,0.1291866028708134,0.02870813397129187,0.03827751196172249
b0019,0.7753001715265866,0.5523156089193825,0.5668953687821612,0.9596912521440824,0.4871355060034305,0.5437392795883362,0.3053173241852487,0.31217838765008576,0.6020583190394511,0.7675814751286449,0.9965694682675816,1.2710120068610635,0.2135506003430532,0.7246998284734134,1.018867924528302,0.7933104631217839,0.5034305317324185,0.8241852487135506
b0020,0.4386740331491713,0.36685082872928176,0.32486187845303865,0.4950276243093923,0.2022099447513812,0.17900552486187846,0.2530386740331492,0.1712707182320442,0.3535911602209945,0.2906077348066298,0.4044198895027624,0.4685082872928177,0.12596685082872927,0.4441988950276243,0.6375690607734806,0.5270718232044199,0.2276243093922652,0.2795580110497238
b0023,9.631178707224334,9.334600760456274,9.209125475285173,13.285171102661595,7.269961977186313,11.323193916349812,5.809885931558934,4.429657794676807,8.429657794676809,10.885931558935358,13.558935361216731,16.20532319391635,4.418250950570342,14.5893536121673,17.346007604562736,15.041825095057035,6.61596958174905,9.642585551330797
b0024,1.0825688073394495,0.9587155963302753,1.0045871559633028,1.4678899082568808,0.6788990825688074,1.128440366972477,0.8532110091743119,0.6330275229357798,0.9541284403669724,1.2522935779816513,1.4403669724770642,1.9954128440366967,0.3899082568807339,2.2339449541284404,2.412844036697248,2.3302752293577984,0.8394495412844036,1.1055045871559632
b0025,1.514346439957492,1.1976620616365568,1.1944739638682254,1.8809776833156215,0.9681190223166845,0.9064824654622742,0.9298618490967056,0.7948990435706695,1.6641870350690755,1.7173219978746015,1.9925611052072263,2.0456960680127523,0.5132837407013815,1.882040382571732,2.8862911795961743,2.157279489904357,0.8990435706695006,1.0616365568544102
b0026,3.0408380681818183,2.348011363636364,2.48828125,4.299360795454546,1.7215909090909092,1.5894886363636365,1.5245028409090908,1.3327414772727273,3.5717329545454546,3.2943892045454546,3.9673295454545454,3.3536931818181817,0.7606534090909091,2.5990767045454546,4.974786931818182,3.5142045454545454,1.4723011363636365,1.8852982954545452
