	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b1974	18	24	24	21	13	5	18	14	8
b1975	2	5	4	8	3	5	2	7	10
b1976	31	51	39	87	88	96	105	35	57
b1977	0	0	3	3	1	2	1	0	1
b1978	49	75	53	79	87	85	88	40	52
b1981	192	200	280	938	436	831	986	148	298
b1982	175	218	278	246	260	254	220	149	225
b1983	75	98	120	109	163	114	177	65	143
b1984	3	1	4	5	4	2	4	3	7
b1985	11	16	3	22	13	18	14	15	12
b1986	3	0	0	0	0	2	2	0	1
b1987	17	19	13	22	45	20	28	26	16
b1988	6	4	9	3	2	5	7	3	5
b1989	1	0	0	0	0	1	0	0	0
b1990	76	55	52	50	61	54	67	38	49
b1991	14	20	17	24	28	29	29	7	13
b1992	2	1	3	8	2	8	7	4	8
b1993	6	0	4	19	14	15	9	1	13
b1994	11	7	9	14	8	6	5	10	11
b1996	15	13	15	17	9	6	3	7	16
b1997	13	11	23	8	7	12	8	5	12
b1999	1	4	1	3	6	3	2	1	4
b2000	21	38	16	11	13	15	14	16	21
b2001	6	9	6	6	7	12	5	4	4
b2002	2	2	0	2	3	3	3	2	1
b2003	0	3	3	0	3	1	1	2	0
b2004	0	3	0	1	0	4	2	2	3
b2005	2	5	2	2	3	3	2	2	0
b2006	5	5	0	1	7	2	4	2	3
b2007	313	332	371	415	462	413	421	263	372
b2008	36	39	39	50	45	42	46	27	51
b2009	25	20	20	24	23	17	26	15	18
b2010	6	7	8	3	8	12	15	5	5
b2011	51	55	52	74	67	77	106	47	57
b2012	10	22	18	17	39	38	33	26	38
b2013	18	50	26	25	106	66	61	28	66
b2014	46	50	62	35	70	63	41	35	56
b2015	16	17	8	19	10	18	15	11	9
b2016	99	91	100	93	79	76	78	61	114
b2017	23	23	26	35	38	29	29	24	29
b2018	25	18	17	32	25	15	34	23	20
b2019	71	72	45	81	69	107	81	73	72
b2020	30	29	35	39	27	42	30	36	48
b2021	38	34	32	61	52	63	54	50	51
b2022	51	73	64	112	77	124	82	82	72
b2023	27	20	34	46	31	41	18	38	32
b2024	27	35	19	52	38	36	28	29	45
b2025	58	47	52	98	55	72	64	58	68
b2026	68	52	71	114	64	87	56	75	72
b2027	219	242	275	276	387	334	327	159	302
b2028	58	43	23	49	17	17	41	99	16
b2029	1675	1689	1903	2194	2368	1883	1933	1243	1791
b2030	3	4	7	4	7	8	4	6	5
b2032	74	102	102	193	151	152	211	79	131
b2033	45	61	65	97	94	82	127	47	49
b2034	90	109	109	185	135	146	204	102	145
b2035	44	36	48	80	64	77	119	52	55
b2036	127	109	119	184	161	168	251	141	141
b2037	70	99	91	184	140	163	241	94	98
b2038	61	88	68	146	90	114	165	62	77
b2039	143	160	176	246	173	183	270	113	146
b2040	123	146	124	128	164	133	159	115	119
b2041	171	165	164	220	220	211	264	142	178
b2042	510	505	515	487	584	442	404	400	527
b2043	11	17	13	20	12	13	19	13	15
b2044	4	3	1	2	1	5	4	5	3
b2045	3	6	4	1	3	2	1	5	1
b2046	1	3	3	3	1	3	2	0	1
b2047	3	2	2	3	0	4	2	9	0
b2048	5	6	3	1	4	2	2	4	0
b2049	6	4	1	2	5	2	5	9	2
