	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b2448	0	2	1	0	3	2	0	1	0
b2449	8	10	7	9	7	12	11	13	10
b2450	19	21	26	24	28	22	21	21	29
b2451	0	2	1	2	1	2	3	2	4
b2452	2	3	1	1	3	1	5	2	2
b2453	1	0	4	2	3	0	1	1	1
b2454	0	1	0	1	0	0	1	0	0
b2455	1	2	0	0	0	1	3	0	2
b2456	0	1	0	0	1	0	0	0	0
b2457	0	0	1	3	1	1	0	0	2
b2458	2	1	3	0	2	1	2	1	1
b2459	0	4	0	0	0	1	1	0	0
b2460	0	0	1	0	1	0	0	1	1
b2461	0	3	0	1	0	0	0	1	0
b2462	1	0	0	1	1	0	1	2	0
b2463	146	169	200	203	207	190	157	109	167
b2464	341	394	376	280	333	248	325	292	302
b2465	361	403	428	232	260	202	231	349	329
b2466	20	12	18	10	13	12	12	17	11
b2467	37	26	33	69	50	36	61	29	31
b2468	3	8	7	5	6	4	8	5	3
b2469	10	13	16	10	13	5	13	6	9
b2470	9	7	8	4	9	12	12	9	10
b2471	34	35	30	47	51	41	38	20	35
b2472	69	59	63	89	89	81	60	55	71
b2473	30	25	23	23	28	27	25	22	26
b2474	34	32	40	24	39	25	33	41	35
b2475	61	60	61	50	39	56	56	46	58
b2476	200	272	281	390	284	291	218	151	268
b2477	208	212	269	181	283	195	145	136	313
b2478	342	309	439	400	521	410	373	261	443
b2479	143	150	158	230	200	203	158	98	180
b2480	239	321	365	468	417	406	369	186	343
b2481	1	0	1	0	0	0	1	0	1
b2482	4	2	2	5	1	3	1	4	1
b2483	1	3	0	3	0	1	3	1	1
b2484	1	2	0	2	0	2	0	0	1
b2485	0	1	1	0	0	1	0	0	0
b2486	4	3	6	5	3	3	4	5	0
b2487	4	6	6	1	5	4	7	2	5
b2488	2	3	2	0	4	0	1	1	2
b2489	2	4	2	1	2	0	2	2	1
b2490	1	2	0	0	1	1	1	1	0
b2491	7	8	6	3	5	7	8	1	6
b2492	2	6	4	1	2	4	4	1	0
b2493	19	12	20	21	24	20	16	9	16
b2494	72	78	105	102	104	107	60	68	84
b2495	59	64	105	44	80	48	42	35	83
b2496	21	15	24	28	18	17	25	17	23
b2497	8	24	24	9	38	22	15	6	22
b2498	82	72	99	45	107	71	31	37	92
b2499	156	203	237	206	246	201	127	86	207
b2500	41	46	53	57	55	59	30	30	49
b2501	157	175	185	219	208	211	246	136	213
b2502	101	107	115	132	112	128	119	81	116
b2503	6	10	10	11	13	15	10	5	5
b2504	27	21	29	27	32	25	36	27	21
b2505	0	1	3	1	4	2	3	0	3
b2506	3	1	6	5	2	5	6	1	1
b2507	304	407	420	340	324	259	256	300	419
b2508	226	312	284	211	256	181	201	263	281
b2509	110	117	97	115	121	118	97	102	85
b2510	17	14	23	24	22	17	27	23	21
b2511	183	173	165	197	176	181	196	128	216
b2512	187	154	214	203	230	150	176	115	225
b2513	83	89	101	111	119	113	97	60	135
b2514	191	216	233	234	281	238	252	122	293
b2515	148	193	182	158	201	164	160	144	189
b2516	133	161	162	181	131	135	151	85	148
b2517	91	86	93	139	117	110	93	66	108
b2518	58	63	84	312	147	195	137	47	101
b2519	8	9	9	7	4	10	11	3	11
b2520	278	257	250	279	208	178	227	213	217
b2521	85	88	91	64	78	59	66	57	78
b2522	14	15	30	21	19	26	29	15	22
b2523	32	37	51	21	38	26	17	23	44
b2524	12	14	10	9	8	5	10	7	21
b2525	30	27	26	21	37	22	24	16	20
b2526	59	42	52	39	70	52	50	35	102
b2527	35	47	50	35	80	54	57	44	52
b2528	108	136	115	244	240	203	247	134	164
b2529	106	135	125	250	280	261	245	115	216
b2530	317	377	321	557	675	655	561	369	617
b2531	267	297	257	412	375	465	310	268	421
b2532	30	20	24	20	24	21	24	17	29
b2533	37	48	29	46	60	31	32	45	51
b2534	1	6	1	4	5	6	1	3	0
b2535	24	27	26	24	22	25	31	29	15
b2536	7	11	13	4	9	4	11	5	11
b2537	24	16	21	36	28	17	17	18	22
b2538	11	17	18	22	18	25	13	10	14
b2539	0	1	2	2	5	4	3	0	4
b2540	0	1	2	5	1	3	2	1	2
b2541	2	4	1	3	6	7	2	5	4
b2542	5	9	7	3	10	10	5	3	11
b2543	29	24	27	16	19	23	13	20	11
b2544	5	7	5	2	4	1	1	3	3
b2545	3	4	1	4	2	4	1	3	4
b2546	1	0	0	1	2	0	2	1	2
b2547	2	4	0	1	5	2	1	0	4
b2548	0	2	2	1	1	4	2	3	2
b2549	4	8	3	10	3	7	5	6	8
b2550	22	24	19	36	17	17	16	14	16
b2551	1879	2123	2051	1593	1288	1195	944	1731	1490
b2552	11	25	24	43	34	44	71	36	36
b2553	62	52	64	75	69	63	54	29	68
b2554	21	29	28	34	35	21	22	22	27
b2555	11	14	11	15	23	25	13	14	17
b2556	33	35	44	38	30	36	28	25	25
b2557	109	184	203	159	184	197	103	90	222
b2558	11	16	6	17	16	10	21	9	18
b2559	16	21	16	13	16	14	17	15	11
b2560	53	56	46	35	39	33	33	34	49
b2561	11	17	12	7	16	6	11	10	10
b2562	8	4	5	0	5	2	3	5	4
b2563	8	16	17	9	10	19	9	6	16
b2564	68	78	81	102	117	60	68	46	100
b2565	27	26	32	20	26	19	25	15	24
b2566	100	111	122	106	103	106	99	81	137
b2567	84	89	97	105	123	108	108	66	106
b2568	88	111	94	125	114	124	96	55	130
b2569	172	232	262	224	230	262	205	143	268
b2570	13	25	22	18	24	13	16	9	14
b2571	123	110	135	128	174	117	113	93	132
b2572	231	259	268	219	325	177	210	151	310
b2573	195	168	205	142	227	167	170	99	213
b2574	59	51	49	17	37	55	26	59	28
b2575	16	16	5	11	10	10	7	11	12
b2576	32	32	55	24	35	35	24	32	43
b2577	8	13	12	7	9	16	11	2	6
b2578	6	3	3	1	4	1	7	1	7
b2579	45	33	55	36	43	47	64	30	40
b2580	31	27	31	15	42	32	33	11	29
b2581	44	59	72	63	56	51	31	40	59
b2582	40	30	38	57	48	27	52	27	31
b2583	3	9	3	11	5	14	10	7	8
b2584	67	88	69	71	76	69	74	52	54
b2585	208	268	276	275	351	244	253	183	237
b2586	135	139	129	268	157	174	243	104	145
b2587	1612	1749	1767	3795	1590	2423	3222	1542	1709
b2588	6	24	3	11	1	3	5	4	4
b2589	312	2506	409	672	419	259	118	567	654
b2590	26	20	17	17	16	16	18	14	23
b2591	175	1210	227	303	211	125	57	312	344
b2592	105	165	152	109	183	156	191	122	198
b2593	28	32	37	23	32	16	20	21	32
b2594	78	99	102	69	114	91	100	61	98
b2595	266	250	335	435	427	389	404	229	364
b2597	195	161	222	290	194	159	311	160	186
b2598	64	49	43	293	127	194	232	80	69
b2599	777	915	1167	4707	2070	2958	3273	1268	1227
b2600	307	780	568	5190	3198	3451	3958	1283	1814
b2601	635	1710	1298	12881	6025	8999	8566	3279	3826
b2602	11	12	10	31	17	20	26	17	14
b2603	22	16	13	20	8	12	30	12	11
b2604	17	10	22	19	19	15	19	15	17
b2605	18	6	20	15	8	8	5	12	13
b2606	409	381	453	441	465	325	397	330	564
b2607	779	757	839	618	868	517	677	606	983
b2608	666	713	774	650	763	463	567	524	893
b2609	373	435	403	389	434	320	381	294	449
b2610	105	120	139	102	101	129	104	86	157
b2611	28	29	45	32	37	42	59	24	39
b2614	173	199	205	162	302	222	265	144	202
b2615	59	45	67	62	62	65	63	33	54
b2616	20	34	33	19	17	22	17	18	20
b2617	140	129	152	198	216	172	218	112	157
b2618	8	12	12	15	11	10	11	4	17
b2619	25	19	36	27	36	32	51	14	32
b2620	69	61	94	61	110	79	75	61	110
b2621	50711	33340	32994	38259	29667	42371	49817	30551	37091
b2622	45	44	58	63	83	68	82	40	64
b2623	7	9	1	7	4	7	17	5	11
b2624	1	0	0	0	2	1	2	0	1
b2625	2	5	1	2	2	3	4	3	4
b2626	1	2	2	2	1	0	5	1	1
b2627	59	87	74	87	87	74	79	60	58
b2628	64	63	54	69	71	74	76	49	59
b2629	1	2	2	5	1	1	1	1	2
b2630	68	69	40	70	71	52	70	37	59
b2631	14	14	16	21	19	16	36	17	15
b2632	2	4	3	0	4	2	3	1	4
b2633	3	6	0	3	1	2	2	1	3
b2634	1	1	3	2	0	1	0	0	1
b2635	0	1	1	0	0	1	0	1	0
b2636	0	1	0	2	3	1	2	0	0
b2637	7	9	9	4	3	6	4	5	3
b2638	4	4	2	5	3	4	4	5	5
b2641	8	7	5	7	9	12	9	3	3
b2642	24	24	18	10	22	10	24	22	18
b2643	1	5	0	0	0	1	1	2	0
b2644	0	0	2	1	0	0	2	0	0
b2645	0	4	1	0	0	0	3	2	2
b2646	0	3	0	0	5	4	2	1	1
b2647	40	68	49	29	27	25	37	36	35
b2648	0	0	1	2	0	3	2	2	1
b2650	1	1	1	1	2	2	2	0	0
b2652	0	0	0	0	0	1	0	0	0
b2659	36	52	46	103	58	52	49	56	54
b2660	10	26	26	15	14	15	11	18	13
b2661	13	13	10	15	16	11	7	12	14
b2662	10	14	10	15	10	8	9	12	12
b2663	13	31	25	30	29	20	26	14	27
b2664	85	126	105	77	99	79	93	77	88
b2665	479	469	396	312	470	267	511	367	341
b2666	27	30	20	35	28	30	30	13	26
b2667	8	4	11	4	4	7	3	4	5
b2668	10	15	15	15	17	9	16	8	19
b2669	72	144	142	69	100	88	67	39	110
b2670	3	7	1	5	20	19	20	12	11
b2671	12	7	6	8	12	13	10	10	13
b2672	240	234	225	300	253	177	272	208	193
b2673	126	172	160	260	265	240	406	161	266
b2674	83	135	113	196	169	177	194	116	217
b2675	340	455	480	794	652	715	830	458	718
b2676	180	260	235	456	375	363	486	267	339
b2677	57	78	83	113	152	110	81	34	126
b2678	12	22	22	17	26	24	13	10	25
b2679	59	58	70	79	93	72	30	23	79
b2681	3	8	8	7	2	4	4	7	4
b2682	45	34	46	38	56	35	49	29	58
b2683	13	14	17	15	19	12	25	11	14
b2684	74	96	112	31	111	74	55	35	93
b2685	9	18	20	13	26	22	14	12	23
b2686	18	18	15	9	14	20	8	16	23
b2687	574	680	680	849	618	616	895	409	610
b2688	366	439	423	525	507	467	578	278	450
b2689	36	33	36	31	43	57	52	19	41
b2690	22	16	25	11	26	20	26	15	17
b2691	2	2	4	8	4	2	8	5	5
b2692	13	6	7	8	19	9	6	5	18
b2693	8	5	11	8	13	17	9	9	19
b2694	5	3	7	2	5	7	3	1	12
b2695	69	52	62	54	60	34	48	58	86
b2696	216	135	179	161	227	184	259	132	238
b2697	457	583	713	681	992	799	649	371	855
b2698	3	2	2	1	1	1	4	2	1
b2699	210	231	252	221	274	186	217	148	300
b2700	17	22	27	15	22	22	15	14	18
b2701	31	26	32	25	21	15	18	16	30
b2702	2	2	0	1	0	0	2	0	2
b2703	3	6	1	1	0	0	1	0	1
b2704	1	3	2	0	1	0	0	0	0
b2705	9	4	7	5	4	6	9	4	5
b2706	3	1	2	1	5	4	3	0	2
b2707	13	18	15	15	25	18	29	7	14
b2708	5	9	18	11	6	5	8	7	10
b2709	7	15	8	8	9	13	7	8	9
b2710	11	11	6	21	4	14	15	14	7
b2711	6	6	4	2	5	1	7	2	5
b2712	1	12	4	5	1	3	8	5	2
b2713	3	2	3	1	4	0	1	1	3
b2714	9	6	8	13	8	12	9	6	8
b2715	1	1	4	9	8	8	6	9	8
b2716	10	8	14	11	13	10	12	3	12
b2717	14	9	9	20	10	7	13	8	8
b2718	3	2	4	3	3	4	2	2	4
b2719	1	2	3	3	3	2	0	0	2
b2720	1	0	0	0	0	0	0	0	1
b2721	1	1	2	1	1	2	1	1	2
b2722	0	2	0	1	1	2	1	0	0
b2723	0	4	1	1	0	4	1	0	0
b2724	0	1	0	0	1	0	0	1	0
b2725	0	1	0	1	0	0	1	0	0
b2726	0	2	0	1	0	0	0	0	1
b2727	2	3	1	6	6	5	1	2	2
b2728	0	1	0	0	0	1	1	1	0
b2729	5	9	11	5	7	7	5	6	12
b2730	15	10	8	8	16	8	6	11	9
b2731	28	38	21	36	22	17	30	21	20
b2732	1	3	2	3	3	8	8	6	6
b2733	23	35	47	29	43	32	41	26	50
b2734	1	2	1	3	1	3	6	0	5
b2735	14	9	12	11	23	12	16	5	9
b2736	1	4	1	5	3	7	4	2	1
b2737	2	7	5	2	1	3	3	3	6
b2738	3	5	2	4	3	4	1	5	2
b2739	4	4	4	5	3	4	3	3	3
b2740	2	10	3	5	2	7	3	5	5
b2741	987	822	838	1083	1025	894	893	726	971
b2742	361	323	362	486	392	427	443	330	389
b2743	29	33	41	34	39	40	28	23	44
b2744	33	26	26	24	31	18	17	10	36
b2745	59	43	70	42	69	52	36	33	48
b2746	12	14	26	17	17	14	17	11	26
b2747	28	29	25	16	18	27	19	13	27
b2748	19	26	28	16	24	20	10	16	27
b2749	15	8	8	14	18	16	25	8	14
b2750	8	6	13	13	34	36	31	15	28
b2751	67	156	128	131	287	242	159	178	308
b2752	92	213	110	176	366	317	261	234	295
b2753	23	20	12	15	23	22	16	19	14
b2754	2	3	0	5	2	3	5	1	1
b2755	4	9	6	12	10	12	11	7	5
b2756	5	7	9	6	7	7	5	7	7
b2757	9	8	11	4	9	11	7	4	15
b2758	20	11	17	9	16	11	12	7	10
b2759	7	3	3	2	1	4	5	1	7
b2760	6	8	3	5	4	5	4	4	3
b2761	13	11	10	11	9	7	13	8	6
b2762	24	52	39	51	84	90	96	92	108
b2763	38	91	51	58	144	103	93	87	137
b2764	41	78	51	29	115	90	71	92	148
b2765	7	11	9	16	22	10	11	7	12
b2766	0	4	3	5	3	2	1	2	3
b2767	0	1	0	1	0	0	0	1	0
b2768	2	2	3	2	1	7	0	1	1
b2769	0	4	1	1	3	2	2	1	2
b2770	1	4	1	1	0	2	0	1	2
b2771	1	1	2	0	0	0	0	0	1
b2774	1	1	0	0	0	0	1	2	1
b2775	3	5	4	2	2	3	1	4	2
b2776	3	6	4	4	4	8	7	5	3
b2777	17	8	20	18	23	9	13	9	16
b2778	1	2	2	1	2	1	4	0	1
b2779	3118	3063	3415	3968	4609	3173	4080	2364	3810
b2780	468	488	588	569	668	491	587	352	597
b2781	41	37	33	37	42	39	44	16	40
b2782	15	9	11	17	24	12	19	9	15
b2783	20	22	18	14	33	18	26	14	17
b2784	133	151	166	117	168	137	139	73	153
b2785	36	37	54	42	59	43	54	30	41
b2786	53	59	63	48	65	47	50	34	38
b2787	6	7	10	5	4	5	14	7	12
b2788	2	3	4	6	2	5	4	3	1
b2789	1	6	1	2	4	4	5	2	0
b2790	45	25	40	31	30	29	17	32	34
b2791	17	17	17	5	11	15	5	10	16
b2792	9	8	7	11	10	6	9	7	8
b2793	30	25	41	72	50	46	69	22	35
b2794	61	50	68	87	72	52	94	45	55
b2795	172	158	207	143	175	145	148	97	144
b2796	8	18	18	16	23	18	24	14	18
b2797	5	8	8	4	7	9	2	4	6
b2798	2	3	8	7	10	4	8	4	2
b2799	5	4	5	2	4	5	7	1	2
b2800	1	2	1	3	3	1	1	1	0
b2801	3	4	0	1	4	2	5	1	1
b2802	1	9	3	1	4	3	2	3	3
b2803	8	11	12	13	17	15	19	16	15
b2804	11	21	17	34	25	32	20	10	17
b2805	21	27	18	27	29	27	26	10	30
b2806	30	39	40	50	66	54	24	11	51
b2807	11	11	12	16	15	19	12	6	22
b2808	18	30	40	33	29	37	36	17	19
b2809	94	97	62	56	69	48	131	80	68
b2810	16	17	20	13	22	16	14	15	19
b2811	15	13	9	5	15	11	14	10	10
b2812	13	16	8	14	15	13	12	8	11
b2813	39	46	47	39	50	53	38	23	49
b2814	5	4	8	4	4	1	0	2	8
b2815	4	8	12	2	1	1	1	2	6
b2816	1	3	8	2	3	2	2	2	9
b2817	30	29	23	31	30	41	42	20	30
b2818	107	85	59	25	32	38	45	66	55
b2819	24	26	36	31	38	38	18	27	29
b2820	45	55	65	79	60	49	42	48	61
b2821	74	76	82	108	118	108	94	60	112
b2822	68	59	89	92	90	98	68	52	66
b2823	0	3	2	3	2	5	5	0	2
b2824	2	3	4	1	1	2	7	4	1
b2825	1	2	2	4	2	3	2	1	3
b2826	2	1	0	0	1	0	3	1	1
b2827	71	94	105	139	102	107	126	52	102
b2828	45	55	62	96	60	91	89	49	63
b2829	186	163	191	234	217	220	167	123	239
b2830	85	101	110	124	138	112	115	72	105
b2831	5	6	13	7	8	12	9	11	11
b2832	9	8	22	29	16	31	32	17	14
b2833	60	33	35	49	35	31	47	51	33
b2834	183	159	214	223	253	202	163	121	192
b2835	26	27	31	23	36	24	19	20	27
b2836	72	73	77	104	74	69	82	65	62
b2837	37	28	38	43	37	38	33	25	22
b2838	109	63	94	43	50	58	33	53	54
b2839	14	9	13	17	18	21	11	11	11
b2840	35	31	31	50	37	46	19	22	27
b2841	8	9	9	11	15	14	10	4	9
b2842	3	10	8	9	6	5	7	6	6
b2843	3	3	11	3	9	7	7	2	3
b2844	9	9	26	12	18	18	24	10	20
b2845	3	6	8	10	9	6	9	5	6
b2846	1	3	0	1	3	4	2	1	1
b2847	1	10	6	4	3	6	9	4	2
b2848	1	1	0	0	0	0	0	1	0
b2849	0	0	0	0	0	0	1	1	0
b2850	0	1	0	0	0	0	1	0	0
b2851	0	0	0	0	0	1	4	0	0
b2852	1	3	0	3	0	1	1	2	2
b2853	0	1	0	2	0	2	0	0	0
b2854	0	0	1	0	0	0	0	0	1
b2856	0	1	0	0	1	1	0	0	0
b2858	0	0	0	1	0	1	0	0	1
b2859	0	3	1	0	0	1	1	1	0
b2860	14	12	21	14	15	17	9	7	22
b2861	3	10	9	9	5	7	9	5	4
b2863	13	13	13	8	11	11	17	10	15
b2864	2	2	0	2	5	1	2	1	1
b2865	25	27	38	31	15	32	21	20	29
b2866	6	11	14	8	10	11	10	9	4
b2867	4	6	3	1	3	6	3	2	1
b2868	0	6	4	2	2	3	1	0	2
b2869	18	9	11	19	11	18	18	8	12
b2870	2	7	2	3	2	0	4	2	2
b2871	1	3	2	3	3	3	5	1	1
b2872	1	2	1	4	2	2	4	0	3
b2873	2	5	4	9	3	4	4	5	3
b2874	5	3	4	10	4	7	11	6	12
b2875	3	5	5	9	3	5	10	5	1
b2876	1	3	3	1	0	4	2	0	1
b2877	2	3	2	3	5	8	6	4	5
b2878	4	9	8	18	11	7	12	9	7
b2879	0	2	4	1	0	1	2	3	0
b2880	1	4	4	0	5	0	0	1	2
b2881	11	11	7	7	14	12	11	7	9
b2882	7	15	11	11	14	7	13	8	1
b2883	12	18	23	15	19	18	16	13	13
b2886	3	2	0	0	0	1	7	2	2
b2887	0	10	0	2	2	7	2	3	3
b2888	1	5	0	0	0	2	3	5	1
b2889	32	38	23	23	33	25	33	22	23
b2890	305	348	454	446	522	375	439	275	488
b2891	187	241	303	249	328	255	255	181	333
b2892	35	45	63	35	46	50	46	28	47
b2893	46	36	58	67	79	64	57	32	53
b2894	33	29	24	36	39	33	29	22	41
b2895	61	38	45	48	65	66	74	23	58
b2896	17	5	14	10	10	19	8	5	14
b2897	20	19	16	38	17	22	22	13	16
b2898	155	157	172	122	112	141	119	105	160
b2899	93	73	106	163	121	129	160	67	110
b2900	24	30	27	50	56	35	58	27	34
b2901	141	138	163	173	191	151	158	112	172
b2902	4	7	1	3	1	3	6	2	0
b2903	61	49	57	20	31	39	28	70	48
b2904	18	16	14	15	10	12	20	34	25
b2905	70	44	49	34	43	48	28	64	42
b2906	33	21	33	27	29	32	39	28	28
b2907	15	14	13	22	12	15	13	13	31
b2908	111	129	130	135	107	149	127	92	176
b2909	95	111	91	101	97	91	118	63	109
b2910	152	148	137	251	221	234	285	157	177
b2911	3705	2540	2219	3357	2569	1691	2433	2733	3030
b2912	9	13	11	12	8	13	5	5	6
b2913	1781	1798	1971	2453	1941	1847	1762	1617	2011
b2914	243	292	323	235	208	189	231	184	263
b2915	2	2	0	3	0	2	0	3	2
b2916	53	55	72	109	82	106	56	36	78
b2917	4	4	3	6	6	7	7	0	6
b2918	1	3	0	2	3	4	2	0	2
b2919	0	1	2	6	5	6	1	1	1
b2920	4	7	7	4	3	3	4	6	8
b2921	9	8	9	14	12	7	9	3	5
b2922	204	188	201	157	250	155	144	151	162
b2923	19	13	15	17	9	12	11	11	17
b2924	717	824	795	927	963	765	955	511	714
b2925	1452	1441	1996	1933	1365	1033	1398	934	1373
b2926	933	887	1311	951	1020	684	814	571	1045
b2927	164	167	281	263	189	152	172	97	225
b2928	18	31	16	28	29	26	31	16	30
b2929	29	33	20	37	28	30	40	20	33
b2930	3	4	0	1	1	3	0	4	4
b2933	0	3	2	1	0	0	4	1	0
b2934	1	0	0	0	0	0	0	0	0
b2935	280	323	419	407	377	366	263	229	426
b2936	34	34	29	22	23	18	31	26	32
b2937	48	40	62	50	42	49	33	37	42
b2938	341	381	456	225	350	244	176	196	322
b2939	11	21	33	10	15	12	12	13	15
b2940	15	24	34	19	23	25	11	15	22
b2942	974	1526	708	938	1492	1126	2308	1463	1339
b2943	47	51	57	44	40	28	30	46	45
b2944	1	9	1	3	6	3	5	4	4
b2945	3	2	2	0	0	1	1	1	0
b2946	35	38	45	31	52	34	36	41	52
b2947	60	81	91	100	107	94	76	55	98
b2948	86	51	103	95	80	91	75	51	74
b2949	25	30	22	31	19	24	20	18	30
b2950	3	8	6	1	1	3	5	4	4
b2951	29	37	31	31	33	31	24	19	39
b2952	18	26	34	24	27	31	29	18	33
b2953	4	5	10	6	3	5	9	1	9
b2954	14	25	25	16	25	20	15	12	22
b2955	22	21	34	29	23	28	28	12	42
b2956	2	5	2	1	5	4	10	5	2
b2957	8	8	13	6	12	9	11	9	10
b2958	16	8	25	14	13	9	13	8	9
b2959	92	105	109	155	81	99	89	50	101
b2960	66	72	77	82	87	76	48	52	73
b2961	47	48	55	42	62	50	52	36	54
b2962	36	45	37	40	61	40	48	29	55
b2963	26	33	41	25	41	30	25	16	27
b2964	22	21	19	44	28	42	52	23	28
b2965	48	65	66	67	38	38	55	36	49
b2966	4	6	9	5	4	5	3	8	4
b2967	3	2	2	6	2	3	7	1	1
b2968	2	1	4	1	3	3	5	3	2
b2969	17	16	22	28	21	17	22	18	22
b2970	1	1	0	3	2	2	0	3	1
b2971	2	2	4	1	6	4	3	1	3
b2972	4	7	6	7	13	5	5	7	8
b2975	11	16	16	19	10	13	8	10	10
b2976	49	63	83	70	84	61	51	34	55
b2977	6	8	13	6	7	9	7	5	4
b2979	6	2	6	8	4	4	4	2	3
b2980	14	9	23	15	14	14	11	8	16
b2981	1	4	2	5	4	3	4	1	3
b2982	185	202	255	251	274	226	214	154	218
b2983	3	5	6	2	1	4	2	1	0
b2984	0	2	3	0	1	0	0	1	2
b2985	1	2	2	2	1	0	4	0	0
b2986	1	2	3	3	0	2	3	4	0
b2987	5	5	0	2	2	1	6	3	4
b2988	180	213	207	135	178	149	177	164	245
b2989	153	160	168	132	139	140	105	113	130
b2990	2	4	5	5	5	8	6	2	5
b2991	0	1	1	3	0	4	1	0	3
b2992	1	3	2	2	4	4	4	2	6
b2993	9	5	11	6	9	6	7	3	8
b2994	14	10	9	23	26	20	18	13	17
b2995	0	4	3	0	3	3	3	1	1
b2996	0	2	2	2	1	3	1	1	0
b2997	0	5	1	1	4	1	4	2	0
b2998	2	1	0	0	0	0	2	0	0
b3001	25	25	24	15	22	21	16	15	18
b3002	44	42	66	64	93	78	88	52	62
b3003	80	55	56	25	28	13	19	53	36
b3005	196	173	182	307	222	242	251	161	226
b3006	447	407	485	643	544	474	701	327	642
b3008	287	340	204	436	472	474	702	333	336
b3009	20	22	25	45	38	47	57	26	24
b3010	9	10	8	11	10	13	9	7	14
b3011	33	44	55	41	32	31	17	32	72
b3012	152	134	103	62	67	37	73	103	78
b3013	6	5	5	6	7	5	7	2	7
b3014	0	2	5	1	0	1	1	3	2
b3017	31	30	29	25	33	34	35	23	57
b3018	22	39	30	45	39	50	47	25	41
b3019	62	59	76	66	71	70	44	58	92
b3020	17	18	16	15	16	13	12	21	10
b3021	77	94	53	109	31	29	52	125	19
b3022	102	107	53	134	27	36	44	151	24
b3023	10	14	16	5	7	10	7	7	13
b3024	111	156	161	97	98	61	82	79	85
b3025	13	12	13	14	13	9	12	4	5
b3026	6	13	19	19	8	13	11	11	16
b3027	0	1	0	0	0	1	0	0	0
b3028	43	51	59	41	76	47	97	41	60
b3029	137	148	148	195	211	167	217	109	170
b3030	82	95	104	146	130	132	115	67	106
b3031	21	28	22	24	30	30	22	15	22
b3032	48	92	75	95	93	87	81	43	96
b3033	38	44	41	57	69	84	65	38	49
b3034	28	35	29	36	34	38	30	27	31
b3035	550	574	744	689	832	582	722	477	697
b3037	60	68	91	71	91	63	50	43	65
b3038	95	101	144	128	146	106	111	68	126
b3039	6	12	10	12	14	18	9	9	8
b3040	48	61	50	117	67	107	71	44	46
b3041	18	32	40	44	54	49	43	13	68
b3042	53	48	42	58	55	46	58	43	55
b3043	2	2	1	0	1	0	4	0	1
b3044	9	11	5	8	6	7	6	11	10
b3045	10	13	6	6	9	7	6	5	8
b3046	6	3	4	10	4	12	12	8	5
b3047	2	1	0	1	2	2	1	2	0
b3048	4	9	3	7	4	9	12	7	2
b3049	48	55	46	19	33	23	49	31	26
b3050	1	2	1	3	1	2	3	0	1
b3051	3	9	2	4	4	3	9	5	7
b3052	35	53	47	44	52	49	37	27	45
b3053	68	94	72	73	94	105	71	53	79
b3054	26	33	46	40	51	50	25	29	43
b3055	34	41	36	21	36	26	19	24	37
b3056	53	45	70	46	57	34	29	41	52
b3057	13	14	11	13	18	18	13	8	14
b3058	1	2	4	3	7	7	5	2	6
b3059	23	24	26	20	19	24	11	12	13
b3060	6	7	6	7	2	6	5	5	3
b3061	0	2	0	1	1	5	2	3	2
b3062	2	1	0	1	0	0	1	0	0
b3063	2	1	2	1	1	4	4	2	0
b3064	22	29	25	19	20	22	19	21	22
b3065	323	384	384	355	436	306	341	261	453
b3066	96	116	108	94	85	94	68	60	104
b3067	349	421	504	383	455	404	383	313	519
b3068	52	39	44	26	36	46	36	16	40
b3069	1	0	1	2	3	4	1	2	0
b3070	28	44	70	63	36	51	35	20	37
b3071	10	11	13	7	7	4	4	6	13
b3072	5	14	4	8	10	11	5	5	9
b3073	570	558	482	400	347	272	263	396	326
b3074	4	9	3	3	5	1	2	5	3
b3075	11	9	13	16	16	15	12	7	10
b3076	4	7	2	4	4	2	9	0	7
b3077	0	2	2	0	1	0	1	2	0
b3078	2	2	1	0	3	0	0	2	2
b3079	1	2	0	0	2	2	3	0	0
b3080	0	3	1	1	4	2	5	5	1
b3081	7	2	9	7	3	5	7	8	3
b3082	9	8	7	10	11	6	12	4	8
b3083	3	3	2	3	2	1	5	2	1
b3084	9	11	14	15	7	10	6	4	6
b3085	10	8	11	0	6	13	10	7	0
b3086	0	3	1	0	1	2	1	3	2
b3087	46	41	35	55	55	49	36	23	34
b3088	3	3	6	7	3	6	2	1	5
b3089	70	73	99	142	183	192	171	80	159
b3090	1	2	5	7	5	7	9	5	7
b3091	18	33	25	120	33	32	11	25	26
b3092	23	66	45	204	76	60	30	59	34
b3093	8	9	7	5	5	6	9	8	13
b3094	116	115	113	225	179	152	198	90	119
b3095	33	26	31	41	48	37	48	20	31
b3096	6	15	5	7	5	4	13	6	9
b3097	272	188	266	152	225	133	165	118	238
b3098	268	270	297	124	215	137	105	112	212
b3099	272	261	328	95	238	98	82	106	221
b3100	107	108	111	50	86	41	38	36	94
b3101	1	3	1	9	4	5	10	4	2
b3102	98	92	101	86	90	74	86	56	77
b3103	34	26	29	44	42	25	43	30	42
b3104	0	4	2	1	0	1	2	0	2
b3105	14	21	30	27	28	23	28	16	20
b3106	2	3	5	9	7	3	8	4	4
b3107	10	9	6	10	6	5	6	2	7
b3110	2	6	3	3	3	6	14	3	2
b3113	1	2	1	1	2	2	2	2	3
b3114	6	5	7	5	6	5	6	3	7
b3115	1	1	1	1	6	6	0	0	0
