LINE 226 : 2020-10-01 18:27:15,648 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 433 : 2020-10-01 18:27:15,864 [DEBUG   ] http://amp.pharm.mssm.edu:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 307 171
LINE 939 : 2020-10-01 18:27:15,868 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 433 : 2020-10-01 18:27:16,338 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 351 : 2020-10-01 18:27:16,453 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 369 : 2020-10-01 18:27:16,453 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2018
LINE 370 : 2020-10-01 18:27:16,453 [INFO    ] Analysis name: , Enrichr Library: GO_Biological_Process_2018
LINE 226 : 2020-10-01 18:27:16,457 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 433 : 2020-10-01 18:27:16,674 [DEBUG   ] http://amp.pharm.mssm.edu:80 "POST /Enrichr/addList HTTP/1.1" 307 171
LINE 939 : 2020-10-01 18:27:16,678 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 433 : 2020-10-01 18:27:19,245 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 226 : 2020-10-01 18:27:20,254 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 433 : 2020-10-01 18:27:20,470 [DEBUG   ] http://amp.pharm.mssm.edu:80 "GET /Enrichr/export?userListId=30210182&filename=GO_Biological_Process_2018..reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 307 171
LINE 939 : 2020-10-01 18:27:20,475 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 433 : 2020-10-01 18:27:21,893 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=30210182&filename=GO_Biological_Process_2018..reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 200 None
LINE 378 : 2020-10-01 18:27:22,468 [INFO    ] Save file of enrichment results: Job Id:b1151e731e474f5fd2801afcf8062dd7
LINE 387 : 2020-10-01 18:27:22,499 [WARNING ] Warning: No enrich terms using library GO_Biological_Process_2018 when cutoff = 0.05
LINE 388 : 2020-10-01 18:27:22,500 [INFO    ] Done.

LINE 226 : 2020-10-01 18:27:22,507 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 433 : 2020-10-01 18:27:22,723 [DEBUG   ] http://amp.pharm.mssm.edu:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 307 171
LINE 939 : 2020-10-01 18:27:22,729 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 433 : 2020-10-01 18:27:23,198 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 351 : 2020-10-01 18:27:23,313 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 369 : 2020-10-01 18:27:23,314 [DEBUG   ] Start Enrichr using library: KEGG_2019_Human
LINE 370 : 2020-10-01 18:27:23,314 [INFO    ] Analysis name: , Enrichr Library: KEGG_2019_Human
LINE 226 : 2020-10-01 18:27:23,317 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 433 : 2020-10-01 18:27:23,533 [DEBUG   ] http://amp.pharm.mssm.edu:80 "POST /Enrichr/addList HTTP/1.1" 307 171
LINE 939 : 2020-10-01 18:27:23,539 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 433 : 2020-10-01 18:27:25,207 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 226 : 2020-10-01 18:27:26,217 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 433 : 2020-10-01 18:27:26,433 [DEBUG   ] http://amp.pharm.mssm.edu:80 "GET /Enrichr/export?userListId=30210183&filename=KEGG_2019_Human..reports&backgroundType=KEGG_2019_Human HTTP/1.1" 307 171
LINE 939 : 2020-10-01 18:27:26,439 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 433 : 2020-10-01 18:27:26,928 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=30210183&filename=KEGG_2019_Human..reports&backgroundType=KEGG_2019_Human HTTP/1.1" 200 None
